,Tom,Jim,Huck
0,3,6,4
1,6,0,3
2,24,16,2
3,5,0,2
4,0,8,1
5,0,0,0
6,0,0,2
7,2,0,0
8,2,22,5
9,0,11,1
10,0,19,0
11,2,4,4
12,3,20,0
13,1,9,0
14,0,6,5
15,0,16,7
16,0,28,10
17,3,0,0
18,5,10,1
19,0,13,0
20,0,18,1
21,0,1,0
22,0,0,0
23,0,9,7
24,0,5,1
25,0,0,0
26,0,0,0
27,0,0,0
28,1,1,0
29,0,3,0
30,0,5,0
31,1,17,1
32,4,0,0
33,19,5,0
34,15,17,4
35,14,18,8
36,18,23,1
37,9,4,0
38,32,27,2
39,11,10,0
40,11,13,3
41,8,0,0
42,30,12,2
43,6,6,3
