,chapter i,chapter ii,chapter iii,chapter iv,chapter v,chapter vi,chapter vii,chapter viii,chapter ix,chapter x,chapter xi,chapter xii,chapter xiii,chapter xiv,chapter xv,chapter xvi,chapter xvii,chapter xviii,chapter xix,chapter xx,chapter xxi,chapter xxii,chapter xxiii,chapter xxiv,chapter xxv,chapter xxvi,chapter xxvii,chapter xxviii,chapter xxix,chapter xxx,chapter xxxi,chapter xxxii,chapter xxxiii,chapter xxxiv,chapter xxxv,chapter xxxvi,chapter xxxvii,chapter xxxviii,chapter xxxix,chapter xl,chapter xli,chapter xlii,chapter the last
Jim,0,15,0,8,0,0,0,22,11,18,4,19,8,5,15,23,0,8,12,17,1,0,9,4,0,0,0,1,3,5,15,0,3,14,13,17,3,23,7,11,0,12,6
Tom,5,23,5,0,0,0,2,2,0,0,2,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,3,18,15,14,18,9,30,11,9,6,26,5
Huck,0,2,2,0,0,2,0,5,1,0,2,0,0,5,4,9,0,1,0,1,0,0,7,0,0,0,0,0,0,0,2,0,0,4,8,1,0,2,0,3,0,2,3
