1990,1992,1994,1996,1998,2000,2002,2004,2006,2008
Alysia 643,Alyssa 30,Alvin 419,Allyssa 731,Allyssa 662,Aliyah 287,Alivia 430,Alissa 336,Alia 928,Alfred 787
Alyson 358,Amanda 3,Alycia 835,Alma 448,Alma 486,Aliza 944,Aliya 741,Alivia 331,Alice 383,Alfredo 388
Alyssa 27,Amber 19,Alysa 862,Alondra 157,Alondra 203,Alize 796,Aliyah 203,Aliya 766,Alicia 167,Ali 398
Amanda 4,Amelia 214,Alysha 564,Alonso 765,Alonso 736,Allan 484,Aliza 817,Aliyah 221,Alijah 584,Ali 866
Amber 15,Amie 860,Alysia 823,Alonzo 509,Alonzo 525,Allen 251,Alize 745,Aliza 777,Alina 355,Alia 929
Amelia 194,Amir 651,Alyson 372,Alton 948,Alton 887,Allie 392,Allan 478,Alize 920,Alisa 890,Aliana 907
Amie 698,Amos 791,Alyssa 26,Alvaro 576,Alvaro 568,Allison 44,Allen 246,Allan 444,Alisha 584,Alice 326
Amir 608,Amy 51,Amanda 8,Alvin 451,Alvin 445,Ally 604,Allie 371,Allen 256,Alison 271,Alicia 178
Amos 739,Ana 137,Amber 21,Alycia 755,Alycia 921,Allyson 243,Allison 44,Allie 294,Alissa 377,Alijah 469
Amy 38,Anais 850,Amelia 226,Alysa 839,Alysa 774,Allyssa 803,Ally 581,Allison 40,Alivia 254,Alina 245
Ana 124,Anastasia 352,Amie 944,Alysha 627,Alysha 791,Alma 491,Allyson 234,Ally 592,Aliya 699,Alisa 867
Anabel 746,Anderson 852,Amir 566,Alysia 746,Alysia 884,Alondra 182,Allyssa 962,Allyson 238,Aliyah 236,Alisha 642
Anastasia 382,Andre 140,Amos 849,Alyson 396,Alyson 409,Alonso 638,Alma 544,Alma 608,Aliza 856,Alison 273
Anderson 881,Andrea 39,Amy 77,Alyssa 23,Alyssa 11,Alonzo 517,Alondra 162,Alondra 150,Alize 959,Alissa 438
Andre 137,Andreas 916,Ana 143,Alyssia 950,Alyssia 952,Alvaro 511,Alonso 621,Alonso 676,Allan 507,Alisson 783
Andrea 40,Andres 186,Anastasia 324,Amanda 13,Amanda 19,Alvin 469,Alonzo 523,Alonzo 548,Allen 283,Alivia 181
Andreas 897,Andrew 5,Anderson 814,Amani 828,Amani 733,Alycia 926,Alton 994,Alvaro 590,Allie 229,Aliya 668
Andres 203,Andria 978,Andre 148,Amari 888,Amari 513,Alysa 766,Alvaro 578,Alvin 514,Allison 46,Aliyah 192
Andrew 7,Andy 252,Andrea 49,Amber 27,Amari 680,Alysha 911,Alvin 463,Alysa 822,Ally 630,Aliza 861
Andria 870,Angel 114,Andreas 905,Amelia 222,Amber 37,Alyson 461,Alycia 972,Alyson 456,Allyson 259,Allan 552
Andy 275,Angel 180,Andres 163,Amir 536,Amelia 217,Alyssa 12,Alysa 808,Alyssa 14,Alma 616,Allen 294
Angel 133,Angela 69,Andrew 10,Amos 982,America 912,Amanda 32,Alysha 963,Amanda 67,Alondra 170,Allie 230
Angel 174,Angelica 100,Andria 971,Amy 88,Amir 442,Amani 746,Alyson 445,Amani 600,Alonso 643,Allison 32
Angela 52,Angelina 284,Andy 258,Ana 141,Amira 915,Amara 801,Alyssa 12,Amara 606,Alonzo 558,Allisson 418
Angelia 501,Angelique 313,Angel 104,Anastasia 327,Amos 987,Amari 511,Amanda 46,Amari 408,Alvaro 570,Ally 766
Angelica 119,Angelo 334,Angel 176,Anderson 808,Amy 96,Amari 681,Amani 674,Amari 440,Alvin 513,Allyson 266
Angelina 261,Angie 652,Angela 81,Andre 172,Ana 141,Amaya 196,Amara 791,Amarion 490,Alyson 471,Alma 792
Angelique 631,Anika 962,Angelica 108,Andrea 61,Anahi 515,Amber 46,Amari 432,Amaris 823,Alyssa 19,Alondra 201
Angelo 335,Anissa 854,Angelina 302,Andreas 908,Anastasia 265,Amelia 207,Amari 472,Amaya 207,Amanda 102,Alonso 660
Angie 586,Anita 454,Angelique 460,Andres 161,Anderson 872,America 712,Amarion 718,Amber 88,Amani 687,Alonzo 542
Anita 405,Anjelica 734,Angelo 347,Andrew 10,Andre 193,Amina 983,Amaya 282,Amelia 96,Amara 573,Alvaro 639
Anjelica 923,Ann 295,Angie 644,Andy 235,Andrea 61,Amir 414,Amber 65,Amelie 838,Amare 778,Alvin 437
Ann 251,Anna 49,Anissa 452,Anfernee 597,Andreas 898,Amira 833,Amelia 139,America 480,Amari 421,Alyson 480
Anna 45,Anne 182,Anita 550,Angel 102,Andres 157,Amiya 936,America 410,Amina 898,Amari 519,Alyssa 16
Anne 155,Annette 548,Anjelica 889,Angel 162,Andrew 9,Amy 107,Amina 946,Amir 340,Amaris 909,Alyvia 970
Annemarie 996,Annie 353,Ann 341,Angela 90,Andy 223,Amya 568,Amir 360,Amira 652,Amaya 215,Amanda 138
Annette 513,Annmarie 945,Anna 41,Angelica 97,Angel 138,Ana 136,Amira 761,Amiya 733,Amber 136,Amani 583
Annie 334,Anthony 19,Annamarie 985,Angelina 310,Angel 81,Anahi 365,Amiya 997,Amiyah 814,Amelia 82,Amara 578
Annmarie 973,Antoine 446,Anne 204,Angelique 455,Angela 100,Anastasia 309,Amy 109,Amy 106,Amelie 784,Amare 677
Anthony 15,Antoinette 476,Annette 643,Angelo 333,Angelica 109,Anaya 900,Amya 632,Amya 423,America 458,Amari 344
Antione 937,Anton 695,Annie 338,Angie 643,Angelina 268,Anderson 779,Ana 134,Ana 139,Amina 978,Amari 393
Antoine 361,Antonia 653,Anthony 18,Anika 811,Angelique 469,Andre 197,Anahi 359,Anabel 965,Amir 324,Amaris 987
Antoinette 354,Antonio 85,Antoine 550,Anissa 711,Angelo 302,Andrea 55,Anastasia 265,Anahi 380,Amira 571,Amaya 198
Anton 603,Antony 844,Antoinette 569,Anita 582,Angie 597,Andreas 954,Anaya 666,Anastasia 288,Amirah 971,Amber 165
Antonia 661,Antwan 610,Anton 579,Anjelica 951,Anika 731,Andres 165,Anderson 663,Anaya 512,Amiya 742,Amelia 68
Antonio 77,Antwon 727,Antonia 671,Ann 397,Anissa 669,Andrew 7,Andre 209,Anderson 594,Amiyah 635,Amelie 781
Antony 832,April 103,Antonio 88,Anna 33,Anita 657,Andy 211,Andrea 56,Andon 863,Amy 128,America 503
Antwan 534,Araceli 523,Antony 874,Annabelle 924,Ann 467,Angel 119,Andres 158,Andre 200,Amya 476,Amiah 963
Antwon 668,Ari 845,Antwan 692,Annamarie 889,Anna 31,Angel 67,Andrew 6,Andrea 57,Ana 143,Amina 763
April 73,Ariana 207,April 127,Anne 219,Annabelle 641,Angela 79,Andy 208,Andreas 966,Anabelle 757,Amir 297
Araceli 556,Arianna 396,Araceli 547,Annette 717,Anne 274,Angelica 138,Angel 110,Andres 169,Anahi 287,Amira 436
Ari 862,Aric 720,Ari 807,Annie 292,Annette 769,Angelina 157,Angel 49,Andrew 6,Anais 869,Amirah 765
Ariana 227,Ariel 472,Ariana 166,Annika 667,Annie 324,Angelique 466,Angela 83,Andy 205,Anastasia 288,Amiya 660
Arianna 411,Ariel 87,Arianna 282,Ansley 957,Annika 472,Angelo 303,Angelica 146,Angel 128,Anaya 486,Amiyah 479
Aric 693,Arielle 283,Aric 791,Anthony 19,Ansley 750,Angie 499,Angelina 75,Angel 44,Anders 987,Amy 132
Ariel 482,Arlene 619,Ariel 144,Antoine 558,Anthony 19,Anika 625,Angelique 497,Angela 105,Anderson 399,Amya 493
Ariel 94,Armand 988,Ariel 480,Antoinette 644,Antoine 553,Anissa 753,Angelo 278,Angeles 972,Andre 207,Ana 169
Arielle 186,Armando 233,Arielle 417,Anton 720,Antoinette 757,Anita 736,Angie 384,Angelica 176,Andrea 59,Anabel 955
Arlene 682,Arnold 577,Arlene 705,Antonia 395,Anton 672,Aniya 578,Anika 509,Angelina 60,Andreas 880,Anabella 919
Armando 229,Arnulfo 996,Armando 226,Antonio 80,Antonia 539,Aniyah 724,Anissa 778,Angelique 604,Andres 161,Anabelle 710
Arnold 559,Aron 555,Armani 980,Antony 775,Antonio 79,Anjali 932,Anita 863,Angelo 269,Andrew 8,Anahi 437
Aron 600,Arron 667,Arnold 638,Antwan 730,Antony 832,Ann 493,Aniya 385,Angie 379,Andy 204,Anastasia 360
Arron 673,Arthur 218,Aron 622,April 177,Antwan 720,Anna 22,Aniyah 412,Anika 477,Angel 160,Anaya 439
Arsenio 742,Arturo 268,Arron 708,Araceli 595,Anya 845,Annabel 942,Anjali 938,Anissa 903,Angel 31,Anderson 326
Arthur 196,Asa 846,Arthur 248,Ari 791,April 182,Annabelle 463,Ann 521,Anita 906,Angela 114,Andre 220
Arturo 259,Asha 842,Arturo 273,Ariana 156,Araceli 595,Annalise 823,Anna 20,Aniya 262,Angelica 208,Andrea 71
Asa 799,Ashely 774,Asa 798,Arianna 214,Ari 873,Annamarie 974,Annabel 814,Aniyah 296,Angelina 48,Andreas 969
Asha 997,Asher 966,Asha 863,Aric 821,Ariana 137,Anne 298,Annabella 712,Ann 686,Angeline 863,Andres 158
Ashely 632,Ashlee 154,Ashanti 869,Ariel 163,Arianna 167,Annette 744,Annabelle 330,Anna 20,Angelique 693,Andrew 12
Ashlee 154,Ashleigh 197,Ashely 886,Ariel 463,Aric 837,Annie 306,Annalise 731,Annabel 849,Angelo 262,Andy 211
Ashleigh 178,Ashley 1,Asher 883,Arielle 419,Ariel 147,Annika 446,Anne 326,Annabella 726,Angie 389,Angel 160
Ashley 2,Ashley 806,Ashlee 180,Arlene 706,Ariel 475,Ansley 761,Annette 598,Annabelle 300,Anika 485,Angel 36
Ashley 656,Ashli 865,Ashleigh 206,Armand 949,Arielle 434,Anthony 17,Annie 315,Annalise 746,Aniya 262,Angela 133
Ashli 722,Ashlie 505,Ashley 2,Armando 222,Arlene 725,Antoine 591,Annika 346,Anne 399,Aniyah 220,Angelica 257
Ashlie 476,Ashly 590,Ashley 957,Armani 738,Armando 224,Antoinette 970,Ansley 677,Annette 695,Ann 731,Angelina 69
Ashly 535,Ashlyn 371,Ashlie 579,Arnold 681,Armani 658,Anton 699,Anthony 12,Annie 385,Anna 23,Angeline 784
Ashlyn 559,Ashlynn 817,Ashly 730,Aron 575,Armani 926,Antonia 613,Antoine 626,Annika 326,Annabel 848,Angelique 687
Ashton 331,Ashton 354,Ashlyn 256,Arron 772,Arnold 713,Antonio 82,Anton 650,Ansley 661,Annabella 556,Angelo 284
Ashton 365,Ashton 391,Ashlynn 590,Arthur 276,Aron 602,Antony 784,Antonia 637,Anthony 11,Annabelle 206,Angie 340
Asia 299,Asia 251,Ashton 285,Arturo 265,Arron 863,Antwan 708,Antonio 85,Antoine 630,Annalise 589,Anika 573
Athena 731,Athena 803,Ashton 355,Asa 846,Arthur 290,Anya 586,Antony 780,Anton 751,Anne 460,Aniya 272
Aubrey 298,Aubree 857,Asia 234,Asha 890,Arturo 291,April 214,Antwan 935,Antonia 782,Annette 881,Aniyah 187
Aubrey 711,Aubrey 252,Aspen 708,Ashanti 691,Asa 793,Araceli 598,Anya 485,Antonio 93,Annie 398,Ann 830
Audra 673,Aubrey 711,Athena 812,Asher 776,Asha 853,Aracely 914,April 254,Antony 762,Annika 335,Anna 26
Audrey 161,Audra 712,Aubree 924,Ashlee 202,Ashanti 831,Arely 906,Araceli 487,Antwan 919,Ansley 704,Annabel 801
August 846,Audrey 175,Aubrey 253,Ashleigh 238,Asher 686,Ari 788,Aracely 655,Anya 468,Anthony 9,Annabella 589
Aurora 716,August 814,Aubrey 683,Ashley 3,Ashlee 267,Aria 957,Arely 698,April 279,Antoine 631,Annabelle 188
Austen 705,Augustus 891,Audra 749,Ashli 768,Ashleigh 288,Ariana 109,Ari 712,Araceli 547,Anton 725,Annalise 702
Austin 55,Aurora 680,Audrey 162,Ashlie 678,Ashley 4,Arianna 128,Aria 735,Aracely 716,Antonio 93,Anne 499
Autumn 177,Austen 639,August 750,Ashly 756,Ashlie 894,Aric 978,Ariana 93,Areli 856,Antony 815,Annie 392
Ava 953,Austin 38,Augustus 866,Ashlyn 227,Ashly 866,Ariel 184,Arianna 114,Arely 582,Antwan 828,Annika 402
Avery 492,Autumn 170,Aurora 669,Ashlynn 513,Ashlyn 202,Ariel 550,Ariel 215,Ari 678,Anya 405,Ansley 719
Avery 797,Ava 833,Austen 505,Ashton 315,Ashlynn 448,Arielle 544,Ariel 513,Aria 683,April 319,Anthony 7
Axel 898,Avery 461,Austin 17,Ashton 327,Ashton 278,Arlene 797,Arielle 578,Ariana 79,Arabella 653,Antoine 693
Ayla 818,Avery 543,Austin 860,Asia 200,Ashton 318,Armando 237,Arjun 960,Arianna 86,Araceli 570,Anton 832
Baby 610,Axel 908,Auston 891,Aspen 629,Asia 206,Armani 650,Arlene 762,Ariel 220,Aracely 722,Antonio 102
Baby 861,Ayana 922,Austyn 820,Astrid 974,Aspen 590,Armani 752,Armando 243,Ariel 551,Areli 979,Antony 895
Bailey 226,Ayanna 930,Autumn 117,Athena 688,Athena 549,Arnold 763,Armani 773,Arielle 641,Arely 576,Antwan 879
Barbara 210,Ayla 783,Ava 750,Aubree 918,Aubree 854,Aron 597,Armani 901,Arjun 741,Ari 634,Anya 375
Barrett 696,Baby 559,Avery 260,Aubrey 258,Aubrey 243,Arthur 316,Arnold 896,Arlene 985,Aria 661,April 333
Barry 348,Baby 725,Avery 484,Aubrey 742,Aubrey 827,Arturo 291,Aron 643,Armando 241,Ariana 78,Arabella 657
Beatrice 720,Bailey 178,Axel 953,Audra 894,Audra 974,Aryanna 898,Arthur 327,Armani 728,Arianna 77,Araceli 767
Beatriz 472,Bailey 989,Ayana 751,Audrey 164,Audrey 145,Asa 657,Arturo 288,Arnav 889,Ariel 202,Aracely 868
Beau 337,Barbara 249,Ayanna 678,August 709,August 598,Asha 884,Aryan 871,Arnold 900,Ariel 471,Areli 848
Becky 862,Barrett 885,Ayla 813,Augustus 942,Augustus 924,Asher 579,Aryanna 815,Aron 640,Arielle 587,Arely 610
Belinda 624,Barry 459,Baby 525,Aurora 632,Aurora 504,Ashlee 314,Asa 670,Arthur 357,Arjun 720,Ari 532
Ben 514,Beatrice 742,Baby 700,Austen 423,Austen 532,Ashleigh 337,Ashanti 115,Arturo 308,Armando 264,Aria 575
Benito 795,Beatriz 489,Bailee 887,Austin 9,Austin 10,Ashley 4,Asher 485,Aryan 644,Armani 698,Ariana 81
Benjamin 33,Beau 392,Bailey 137,Auston 894,Auston 879,Ashly 945,Ashlee 353,Aryana 882,Armani 936,Arianna 66
Bennett 674,Becky 993,Bailey 768,Austyn 629,Austyn 656,Ashlyn 178,Ashleigh 274,Aryanna 778,Arnav 932,Ariel 217
Bennie 872,Belinda 735,Barbara 318,Autumn 104,Autumn 77,Ashlynn 387,Ashley 6,Asa 672,Aron 640,Ariel 570
Benny 714,Ben 536,Barrett 884,Ava 739,Ava 350,Ashton 254,Ashly 818,Ashanti 533,Arthur 377,Ariella 923
Bernadette 735,Benito 739,Barry 497,Avery 251,Avery 246,Ashton 353,Ashlyn 158,Asher 334,Arturo 323,Arielle 619
Bernard 430,Benjamin 33,Beatrice 872,Avery 486,Avery 246,Ashtyn 964,Ashlynn 348,Ashlee 282,Aryan 684,Arjun 755
Bernardo 764,Bennett 671,Beatriz 554,Axel 859,Axel 794,Asia 220,Ashton 200,Ashleigh 417,Aryana 823,Armando 293
Beth 392,Benny 722,Beau 395,Ayana 819,Ayana 724,Aspen 570,Ashton 378,Ashley 8,Aryanna 652,Armani 583
Bethany 107,Berenice 823,Belinda 814,Ayanna 659,Ayanna 447,Athena 528,Ashtyn 889,Ashly 839,Asa 623,Armani 755
Betsy 739,Bernadette 840,Ben 615,Ayla 847,Ayla 909,Aubree 755,Asia 266,Ashlyn 131,Ashanti 882,Arnav 974
Betty 577,Bernard 418,Benito 757,Baby 637,Aylin 737,Aubrey 223,Aspen 556,Ashlynn 286,Asher 252,Aron 600
