,Chapter_0,Chapter_1,Chapter_2,Chapter_3,Chapter_4,Chapter_5,Chapter_6,Chapter_7,Chapter_8,Chapter_9,Chapter_10,Chapter_11,Chapter_12,Chapter_13,Chapter_14,Chapter_15,Chapter_16,Chapter_17,Chapter_18,Chapter_19,Chapter_20,Chapter_21,Chapter_22,Chapter_23,Chapter_24,Chapter_25,Chapter_26,Chapter_27,Chapter_28,Chapter_29,Chapter_30,Chapter_31,Chapter_32,Chapter_33,Chapter_34,Chapter_35,Chapter_36,Chapter_37,Chapter_38,Chapter_39,Chapter_40,Chapter_41,Chapter_42,Chapter_43
Huck,0,3,2,2,1,0,2,0,5,1,0,4,0,0,5,7,10,0,1,0,1,0,0,7,1,0,0,0,0,0,0,2,0,0,4,8,1,0,2,0,3,0,2,3
Jim,0,0,16,0,8,0,0,0,22,11,19,4,20,9,6,16,28,0,10,13,18,1,0,9,5,0,0,0,1,3,5,17,0,5,17,18,23,4,27,10,13,0,12,6
Tom,0,6,24,5,0,0,0,2,2,0,0,2,3,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,1,4,19,15,14,18,9,32,11,11,8,30,6
