0,1
1990,1992
Aaron34,Aaron30
Abbey482,Abbey545
Abbie685,Abbie784
Abby222,Abby260
Abdul934,Abdul980
Abel384,Abel370
Abigail90,Abigail86
Abraham246,Abraham254
Abram920,Adam36
Adam32,Adan498
Adan548,Addison634
Addison645,Adolfo677
Adolfo649,Adrian702
Adrian603,Adrian96
Adrian94,Adriana141
Adriana144,Adrianna289
Adrianna325,Adrianne822
Adrianne783,Adrienne279
Adrienne233,Agustin618
Agustin627,Ahmad579
Ahmad562,Ahmed724
Ahmed721,Aidan633
Aidan889,Aileen795
Aileen851,Aimee314
Aimee272,Aisha571
Aisha568,Aja958
Aja940,Akeem562
Akeem405,Alaina436
Alaina441,Alan129
Alan125,Alana386
Alana368,Alanna502
Alanna474,Alayna852
Alannah936,Albert205
Albert167,Alberto225
Alberto225,Aldo836
Alden949,Alec172
Aldo792,Alecia751
Alec271,Alejandra149
Alecia678,Alejandro113
Alejandra211,Alesha782
Alejandro126,Alessandra807
Alesha695,Alex54
Alessandra829,Alex617
Alex59,Alexa140
Alex802,Alexander23
Alexa146,Alexander927
Alexander28,Alexandra29
Alexander873,Alexandre987
Alexandra37,Alexandrea508
Alexandre950,Alexandria73
Alexandrea653,Alexandro882
Alexandria95,Alexia522
Alexandro837,Alexis331
Alexia557,Alexis40
Alexis334,Alexus616
Alexis66,Alfonso420
Alfonso423,Alfred403
Alfred364,Alfredo274
Alfredo272,Ali477
Ali474,Ali771
Ali687,Alice372
Alice347,Alicia71
Alicia53,Alina639
Alina664,Alisa513
Alisa460,Alisha162
Alisha135,Alison147
Alison133,Alissa272
Alissa276,Allan385
Allan382,Allen166
Allen141,Allie561
Allie579,Allison48
Allison48,Allyson229
Allyson236,Allyssa763
Allyssa709,Alma368
Alma386,Alonso829
Alonso805,Alonzo506
Alonzo476,Alphonso983
Alphonso806,Alton769
Alton704,Alvaro576
Alvaro576,Alvin369
Alvin331,Alycia686
Alycia524,Alysa864
Alysa900,Alysha482
Alyse816,Alysia664
Alysha410,Alyson399
Alysia643,Alyssa30
Alyson358,Amanda3
Alyssa27,Amber19
Amanda4,Amelia214
Amber15,Amie860
Amelia194,Amir651
Amie698,Amos791
Amir608,Amy51
Amos739,Ana137
Amy38,Anais850
Ana124,Anastasia352
Anabel746,Anderson852
Anastasia382,Andre140
Anderson881,Andrea39
Andre137,Andreas916
Andrea40,Andres186
Andreas897,Andrew5
Andres203,Andria978
Andrew7,Andy252
Andria870,Angel114
Andy275,Angel180
Angel133,Angela69
Angel174,Angelica100
Angela52,Angelina284
Angelia501,Angelique313
Angelica119,Angelo334
Angelina261,Angie652
Angelique631,Anika962
Angelo335,Anissa854
Angie586,Anita454
Anita405,Anjelica734
Anjelica923,Ann295
Ann251,Anna49
Anna45,Anne182
Anne155,Annette548
Annemarie996,Annie353
Annette513,Annmarie945
Annie334,Anthony19
Annmarie973,Antoine446
Anthony15,Antoinette476
Antione937,Anton695
Antoine361,Antonia653
Antoinette354,Antonio85
Anton603,Antony844
Antonia661,Antwan610
Antonio77,Antwon727
Antony832,April103
Antwan534,Araceli523
Antwon668,Ari845
April73,Ariana207
Araceli556,Arianna396
Ari862,Aric720
Ariana227,Ariel472
Arianna411,Ariel87
Aric693,Arielle283
Ariel482,Arlene619
Ariel94,Armand988
Arielle186,Armando233
Arlene682,Arnold577
Armando229,Arnulfo996
Arnold559,Aron555
Aron600,Arron667
Arron673,Arthur218
Arsenio742,Arturo268
Arthur196,Asa846
Arturo259,Asha842
Asa799,Ashely774
Asha997,Asher966
Ashely632,Ashlee154
Ashlee154,Ashleigh197
Ashleigh178,Ashley1
Ashley2,Ashley806
Ashley656,Ashli865
Ashli722,Ashlie505
Ashlie476,Ashly590
Ashly535,Ashlyn371
Ashlyn559,Ashlynn817
Ashton331,Ashton354
Ashton365,Ashton391
Asia299,Asia251
Athena731,Athena803
Aubrey298,Aubree857
Aubrey711,Aubrey252
Audra673,Aubrey711
Audrey161,Audra712
August846,Audrey175
Aurora716,August814
Austen705,Augustus891
Austin55,Aurora680
Autumn177,Austen639
Ava953,Austin38
Avery492,Autumn170
Avery797,Ava833
Axel898,Avery461
Ayla818,Avery543
Baby610,Axel908
Baby861,Ayana922
Bailey226,Ayanna930
Barbara210,Ayla783
Barrett696,Baby559
Barry348,Baby725
Beatrice720,Bailey178
Beatriz472,Bailey989
Beau337,Barbara249
Becky862,Barrett885
Belinda624,Barry459
Ben514,Beatrice742
Benito795,Beatriz489
Benjamin33,Beau392
Bennett674,Becky993
Bennie872,Belinda735
Benny714,Ben536
Bernadette735,Benito739
Bernard430,Benjamin33
Bernardo764,Bennett671
Beth392,Benny722
Bethany107,Berenice823
Betsy739,Bernadette840
Betty577,Bernard418
Beverly521,Bernardo824
Bianca84,Beth515
Bill992,Bethany114
Billie830,Betsy837
Billy214,Betty721
Blaine400,Beverly531
Blair487,Bianca97
Blair580,Bill898
Blake91,Billie890
Blake937,Billy230
Blanca397,Blaine438
Bo602,Blair524
Bobbi766,Blair652
Bobbie638,Blake84
Bobby185,Blake996
Bonnie380,Blanca419
Brad362,Bo622
Braden485,Bobbi831
Bradford579,Bobbie764
Bradley65,Bobby221
Bradly635,Bonnie449
Brady315,Brad462
Brandan746,Braden412
Branden300,Bradford628
Brandi103,Bradley72
Brandie551,Bradly707
Brandon19,Brady238
Brandy137,Brandan658
Brandyn807,Branden251
Brant775,Brandi110
Braxton715,Brandie600
Breana546,Brandon6
Breann775,Brandy168
Breanna113,Brandyn640
Breanne498,Brannon990
Bree938,Brant937
Brenda123,Braxton648
Brendan155,Brayden792
Brenden518,Brea875
Brendon451,Breana443
Brenna418,Breann736
Brennan383,Breanna94
Brennen899,Breanne486
Brent127,Bree973
Brenton469,Brenda119
Bret418,Brendan144
Brett84,Brenden433
Brian27,Brendon363
Briana109,Brenna356
Brianna61,Brennan367
Brianne318,Brennen777
Brice529,Brent160
Bridget191,Brenton541
Bridgett839,Breonna932
Bridgette440,Bret466
Britany491,Brett97
Britney136,Bria334
Britni611,Brian31
Britny723,Briana79
Brittaney688,Brianda777
Brittani230,Brianna43
Brittanie553,Brianne332
Brittany3,Brice584
Brittany996,Bridget201
Brittnee713,Bridgette562
Brittney44,Brielle804
Brittni357,Britany610
Brittnie843,Britney194
Brittny591,Britni877
Britton938,Brittaney866
Brock257,Brittani320
Broderick890,Brittanie611
Brody796,Brittany4
Bronson687,Brittney68
Brook868,Brittni549
Brooke70,Brittny882
Brooklyn911,Britton943
Brooks681,Brock306
Bruce240,Broderick903
Bruno993,Brody612
Bryan57,Bronson762
Bryanna633,Brook692
Bryant204,Brooke59
Bryce169,Brooklyn552
Bryon708,Brooks672
Bryson550,Bruce291
Byron265,Bryan57
Cade885,Bryana998
Caitlin50,Bryanna475
Caitlyn183,Bryant261
Cale921,Bryce175
Caleb88,Bryon770
Callie297,Bryson510
Calvin173,Byron314
Camden955,Cade827
Cameron62,Caden870
Cameron675,Caitlin62
Camille243,Caitlyn156
Camron762,Cale863
Candace142,Caleb74
Candice147,Callie292
Candy949,Calvin194
Cara235,Camden878
Carey858,Cameron53
Cari959,Cameron698
Carina544,Camille259
Carissa257,Camron818
Carl145,Candace185
Carla263,Candice198
Carley761,Cara247
Carlie924,Carey961
Carlo838,Carina474
Carlos75,Carissa239
Carlton425,Carl182
Carly163,Carla276
Carmen217,Carlee715
Carol350,Carley409
Carolina302,Carli713
Caroline116,Carlie605
Carolyn169,Carlo914
Carrie170,Carlos69
Carson456,Carlton480
Carter551,Carly134
Cary817,Carmen228
Casandra407,Carol412
Casey106,Carolina305
Casey89,Caroline105
Cassandra49,Carolyn196
Cassidy468,Carrie221
Cassidy922,Carson357
Cassie228,Carson950
Cassondra724,Carter451
Catalina956,Cary967
Catherine71,Casandra496
Cathy914,Casey105
Catrina908,Casey109
Cayla550,Cassandra52
Cecelia847,Cassidy355
Cecil664,Cassidy991
Cecilia326,Cassie234
Cecily574,Cassondra878
Cedric377,Catalina895
Cedrick828,Catherine78
Celeste398,Catrina988
Celia589,Cayla568
Celina704,Cecelia938
Cesar199,Cecil742
Chad85,Cecilia275
Chadwick594,Cedric407
Chaim893,Cedrick968
Chance316,Celeste385
Chandler486,Celia655
Chandra742,Celina615
Chanel419,Cesar195
Chanelle925,Chad108
Channing951,Chadwick705
Chantal552,Chaim922
Chantel362,Chance329
Chantelle721,Chandler409
Charity458,Chandler541
Charlene394,Chandra967
Charles38,Chanel393
Charlie422,Chanelle979
Charlotte287,Channing886
Charmaine819,Chantal719
Chase110,Chantel405
Chasity373,Chantelle778
Chastity915,Charity500
Chauncey952,Charlene506
Chaya894,Charles43
Chaz448,Charlie452
Chelsea24,Charlotte287
Chelsey128,Charmaine780
Chelsi762,Chase116
Chelsie273,Chasity362
Cherie865,Chastity989
Cherish992,Chaya959
Cheryl415,Chaz511
Chester676,Chelsea15
Cheyenne330,Chelsey117
Chloe212,Chelsi677
Chris449,Chelsie227
Christa372,Chelsy879
Christen650,Cheryl533
Christian319,Chester725
Christian60,Cheyanne687
Christiana831,Cheyenne169
Christie436,China818
Christin615,Chloe161
Christina25,Chris471
Christine62,Christa344
Christopher2,Christen670
Christopher982,Christian280
Christy284,Christian35
Chrystal696,Christiana737
Ciara294,Christie518
Ciera443,Christin731
Cierra268,Christina33
Cindy185,Christine82
Claire159,Christopher2
Clara522,Christy357
Clare657,Chrystal859
Clarence373,Chynna939
Clarissa322,Ciara208
Clark537,Ciera410
Claude833,Cierra264
Claudia199,Cindy183
Clay444,Claire158
Clayton153,Clara469
Clifford346,Clare679
Clifton473,Clarence429
Clint375,Clarissa243
Clinton201,Clark623
Clyde638,Claude887
Coby986,Claudia190
Codey800,Clay483
Codie930,Clayton167
Cody31,Clifford415
Cody858,Clifton538
Colby244,Clint396
Cole248,Clinton211
Coleman787,Clyde732
Colin122,Coby879
Colleen160,Codey681
Collin239,Codi856
Colt768,Codie712
Colten619,Cody24
Colton139,Cody963
Conner628,Colby197
Connie483,Cole143
Connor221,Coleman649
Conor459,Colin127
Conrad621,Colleen184
Constance506,Collin187
Cooper706,Colt691
Cora852,Colten571
Corbin426,Colter997
Cordell749,Colton134
Corey56,Conner296
Corey671,Connie573
Cori705,Connor80
Corina646,Conor290
Corinne406,Conrad624
Cornelius487,Constance654
Cornell962,Cooper546
Corrine877,Cora808
Cortez533,Coral990
Cortney225,Corbin393
Cortney931,Cordell917
Cory67,Corey65
Cory970,Corey790
Coty447,Cori694
Courtney17,Corina581
Courtney356,Corinne394
Craig116,Cornelius542
Cristal518,Corrine991
Cristian417,Cortez592
Cristina165,Cortney319
Cristobal923,Cory83
Cristopher743,Coty406
Cruz717,Courtney21
Crystal39,Courtney489
Cullen788,Coy998
Curtis120,Craig154
Cynthia88,Cristal439
Cyrus829,Cristian272
Daisy193,Cristina186
Dakota194,Cristopher767
Dakota597,Cruz801
Dale285,Crystal50
Dallas391,Cullen600
Dalton193,Curtis142
Damian322,Cynthia92
Damien332,Cyrus729
Damion675,Daisy187
Damon321,Dakota103
Dan660,Dakota346
Dana114,Dakotah883
Dana532,Dale340
Danae974,Dallas299
Dandre747,Dallas646
Dane336,Dalton121
Dangelo839,Dalvin931
Danica639,Damaris974
Daniel5,Damian262
Daniela381,Damien308
Daniella500,Damion580
Danielle18,Damon284
Danika886,Dan715
Danny162,Dana144
Dante366,Dana627
Danyelle946,Danae951
Daphne764,Dandre682
Daquan709,Dane410
Dara882,Danica772
Darcy782,Daniel7
Daren886,Daniela285
Darian631,Daniella483
Darien841,Danielle18
Darin530,Danika940
Dario783,Danny190
Darion859,Dante360
Darius152,Danyelle897
Darlene484,Daphne891
Darnell353,Daquan605
Daron849,Dara896
Darrel772,Darcy933
Darrell245,Darian547
Darren200,Darian704
Darrick818,Darien616
Darrin509,Darin601
Darrius569,Dario873
Darryl255,Darion749
Darwin910,Darius164
Daryl440,Darlene601
Dashawn731,Darnell419
Dave924,Daron841
David6,Darrel944
Davin969,Darrell293
Davis597,Darren227
Davon479,Darrin566
Dawn359,Darrius590
Dayna640,Darryl321
Dayton876,Darwin956
Dean286,Daryl488
Deana884,Dashawn586
Deandre276,Davante802
Deangelo454,Dave976
Deanna158,David10
Debbie744,Davin847
Deborah262,Davion853
Debra453,Davis513
Deidra840,Davon449
Deidre971,Davonta918
Deirdre990,Davonte491
Deja747,Dawn413
Dejuan790,Dayna752
Delia810,Dayton984
Demarco801,Dean315
Demarcus442,Deandre277
Demario667,Deangelo534
Demetria885,Deanna155
Demetrius290,Deante900
