Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Country,Continent,Automatic / Manual,A/M digital
acura,ilx hybrid,compact,1.5,4.0,av7,Z,6.0,5.8,5.9,48.0,136.0,usa,america,A,1
acura,ilx hybrid,compact,1.5,4.0,av7,Z,6.0,6.1,6.1,46.0,140.0,usa,america,A,1
acura,rlx hybrid,mid-size,3.5,6.0,am7,Z,8.0,7.5,7.7,37.0,177.0,usa,america,A,1
acura,rlx hybrid,mid-size,3.5,6.0,am7,Z,8.0,7.5,7.7,37.0,180.0,usa,america,A,1
acura,ilx,compact,2.4,4.0,am8,Z,9.3,6.6,8.1,35.0,189.0,usa,america,A,1
acura,rlx hybrid,mid-size,3.5,6.0,am7,Z,8.2,7.8,8.1,35.0,190.0,usa,america,A,1
acura,ilx,compact,2.0,4.0,as5,Z,9.7,6.7,8.3,34.0,191.0,usa,america,A,1
acura,tlx,compact,2.4,4.0,am8,Z,9.6,6.6,8.3,34.0,191.0,usa,america,A,1
acura,ilx,compact,2.4,4.0,am8,Z,9.4,6.8,8.2,34.0,192.0,usa,america,A,1
acura,rlx hybrid,mid-size,3.5,6.0,am7,Z,8.4,8.2,8.4,34.0,196.0,usa,america,A,1
acura,ilx,compact,2.0,4.0,as5,Z,9.9,6.7,8.5,33.0,196.0,usa,america,A,1
acura,tlx,compact,2.4,4.0,am8,Z,9.6,6.6,8.3,34.0,196.0,usa,america,A,1
acura,tlx,compact,2.4,4.0,am8,Z,9.6,6.6,8.3,34.0,197.0,usa,america,A,1
acura,ilx,compact,2.4,4.0,am8,Z,9.9,7.0,8.6,33.0,199.0,usa,america,A,1
acura,tlx,compact,2.4,4.0,am8,Z,10.0,7.1,8.7,32.0,205.0,usa,america,A,1
acura,tlx a-spec,compact,2.4,4.0,am8,Z,10.2,7.4,8.9,32.0,209.0,usa,america,A,1
acura,mdx hybrid awd,suv - small,3.0,6.0,am7,Z,9.1,9.0,9.0,31.0,210.0,usa,america,A,1
