Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Country,Continent,Automatic / Manual,A/M digital
acura,tsx,compact,2.4,4.0,as5,Z,10.6,7.5,9.2,31.0,212.0,usa,america,A,1
acura,tlx,compact,3.5,6.0,as9,Z,11.2,6.9,9.2,31.0,212.0,usa,america,A,1
acura,ilx,compact,2.4,4.0,m6,Z,10.8,7.4,9.3,30.0,214.0,usa,america,M,0
acura,tlx sh-awd,compact,3.5,6.0,as9,Z,11.2,7.5,9.6,29.0,221.0,usa,america,A,1
acura,ilx,compact,2.4,4.0,m6,Z,11.2,7.7,9.6,29.0,221.0,usa,america,M,0
acura,tsx,compact,2.4,4.0,m6,Z,11.2,8.1,9.8,29.0,225.0,usa,america,M,0
acura,tlx sh-awd,compact,3.5,6.0,as9,Z,11.2,7.5,9.6,29.0,226.0,usa,america,A,1
acura,tlx sh-awd,compact,3.5,6.0,as9,Z,11.4,7.7,9.8,29.0,228.0,usa,america,A,1
acura,rlx,mid-size,3.5,6.0,as6,Z,11.9,7.7,10.0,28.0,230.0,usa,america,A,1
acura,tl,mid-size,3.5,6.0,as6,Z,11.8,8.1,10.1,28.0,232.0,usa,america,A,1
acura,rdx awd,suv - small,2.0,4.0,as10,Z,11.0,8.6,9.9,29.0,232.0,usa,america,A,1
acura,rlx,mid-size,3.5,6.0,as6,Z,11.9,7.7,10.0,28.0,235.0,usa,america,A,1
acura,tsx,compact,3.5,6.0,as5,Z,12.1,8.3,10.4,27.0,239.0,usa,america,A,1
acura,tlx sh-awd a-spec,compact,3.5,6.0,as9,Z,12.0,8.2,10.3,27.0,240.0,usa,america,A,1
acura,tlx sh-awd a-spec/limited edition,compact,3.5,6.0,as9,Z,12.0,8.2,10.3,27.0,240.0,usa,america,A,1
acura,rdx awd a-spec,suv - small,2.0,4.0,as10,Z,11.3,9.1,10.3,27.0,241.0,usa,america,A,1
acura,rdx awd,suv - small,3.5,6.0,as6,Z,12.1,8.7,10.6,27.0,244.0,usa,america,A,1
acura,rdx awd,suv - small,3.5,6.0,as6,Z,12.4,8.6,10.7,26.0,249.0,usa,america,A,1
acura,rdx awd,suv - small,3.5,6.0,as6,Z,12.4,8.7,10.7,26.0,250.0,usa,america,A,1
acura,mdx sh-awd elite,suv - small,3.5,6.0,as9,Z,12.2,9.1,10.7,26.0,251.0,usa,america,A,1
acura,mdx sh-awd elite,suv - small,3.5,6.0,as9,Z,12.2,9.0,10.7,26.0,251.0,usa,america,A,1
acura,mdx sh-awd,suv - small,3.5,6.0,as9,Z,12.2,9.0,10.8,26.0,252.0,usa,america,A,1
acura,mdx sh-awd,suv - small,3.5,6.0,as9,Z,12.7,9.1,11.1,25.0,254.0,usa,america,A,1
acura,mdx sh-awd,suv - small,3.5,6.0,as9,Z,12.3,9.2,10.9,26.0,254.0,usa,america,A,1
acura,tl awd,mid-size,3.7,6.0,as6,Z,12.8,9.0,11.1,25.0,255.0,usa,america,A,1
acura,mdx 4wd,suv - small,3.5,6.0,as6,Z,12.7,9.1,11.1,25.0,255.0,usa,america,A,1
acura,mdx sh-awd,suv - small,3.5,6.0,as6,Z,12.7,9.1,11.1,25.0,255.0,usa,america,A,1
acura,mdx sh-awd a-spec,suv - small,3.5,6.0,as9,Z,12.2,9.5,11.0,26.0,258.0,usa,america,A,1
acura,mdx sh-awd,suv - small,3.5,6.0,as9,Z,12.6,9.0,11.0,26.0,259.0,usa,america,A,1
acura,nsx,two-seater,3.5,6.0,am9,Z,11.1,10.8,11.0,26.0,261.0,usa,america,A,1
acura,tl awd,mid-size,3.7,6.0,m6,Z,13.4,9.5,11.6,24.0,267.0,usa,america,M,0
alfa romeo,4c,two-seater,1.8,4.0,am6,Z,9.7,6.9,8.4,34.0,193.0,italy,europe,A,1
alfa romeo,4c spider,two-seater,1.8,4.0,am6,Z,9.7,6.9,8.4,34.0,197.0,italy,europe,A,1
alfa romeo,4c,two-seater,1.8,4.0,am6,Z,9.7,6.9,8.4,34.0,197.0,italy,europe,A,1
alfa romeo,4c coupe,two-seater,1.8,4.0,am6,Z,9.7,6.9,8.4,34.0,197.0,italy,europe,A,1
alfa romeo,giulia,mid-size,2.0,4.0,a8,Z,10.0,7.2,8.7,32.0,205.0,italy,europe,A,1
alfa romeo,giulia awd,mid-size,2.0,4.0,a8,Z,10.5,7.7,9.2,31.0,217.0,italy,europe,A,1
alfa romeo,stelvio,suv - small,2.0,4.0,a8,Z,10.3,8.1,9.3,30.0,218.0,italy,europe,A,1
alfa romeo,stelvio awd,suv - small,2.0,4.0,a8,Z,10.8,8.3,9.6,29.0,226.0,italy,europe,A,1
alfa romeo,giulia quadrifoglio,mid-size,2.9,6.0,a8,Z,13.5,9.3,11.6,24.0,271.0,italy,europe,A,1
alfa romeo,giulia quadrifoglio,mid-size,2.9,6.0,a8,Z,13.8,9.6,11.9,24.0,280.0,italy,europe,A,1
alfa romeo,stelvio awd quadrifoglio,suv - small,2.9,6.0,a8,Z,13.9,10.3,12.3,23.0,288.0,italy,europe,A,1
alfa romeo,stelvio quadrifoglio,suv - small,2.9,6.0,a8,Z,14.1,10.4,12.4,23.0,292.0,italy,europe,A,1
alfa romeo,stelvio awd quadrifoglio,suv - small,2.9,6.0,a8,Z,14.1,10.4,12.4,23.0,292.0,italy,europe,A,1
aston martin,vantage v8,two-seater,4.0,8.0,a8,Z,12.7,9.4,11.2,25.0,264.0,great britain,europe,A,1
aston martin,vantage v8,two-seater,4.0,8.0,a8,Z,13.1,9.6,11.5,25.0,270.0,great britain,europe,A,1
aston martin,db11 v8,minicompact,4.0,8.0,a8,Z,13.0,9.8,11.5,25.0,271.0,great britain,europe,A,1
aston martin,db11 amr,minicompact,5.2,12.0,a8,Z,15.5,10.6,13.3,21.0,312.0,great britain,europe,A,1
aston martin,db11 v12,minicompact,5.2,12.0,a8,Z,15.5,11.4,13.7,21.0,322.0,great britain,europe,A,1
aston martin,dbs superleggera,minicompact,5.2,12.0,a8,Z,16.4,10.7,13.8,20.0,324.0,great britain,europe,A,1
aston martin,rapide s,subcompact,6.0,12.0,a8,Z,16.8,10.9,14.2,20.0,327.0,great britain,europe,A,1
aston martin,rapide s,subcompact,6.0,12.0,a8,Z,16.7,10.9,14.1,20.0,331.0,great britain,europe,A,1
aston martin,rapide s,subcompact,6.0,12.0,a8,Z,16.7,10.9,14.1,20.0,332.0,great britain,europe,A,1
aston martin,rapide s,subcompact,6.0,12.0,a8,Z,16.8,10.9,14.2,20.0,332.0,great britain,europe,A,1
aston martin,rapide amr,subcompact,6.0,12.0,a8,Z,16.7,10.9,14.1,20.0,332.0,great britain,europe,A,1
aston martin,vantage v8,two-seater,4.0,8.0,m7,Z,16.7,11.2,14.2,20.0,333.0,great britain,europe,M,0
aston martin,vantage gt,two-seater,4.7,8.0,am7,Z,17.4,11.3,14.7,19.0,338.0,great britain,europe,A,1
aston martin,v8 vantage,two-seater,4.7,8.0,am7,Z,17.4,11.3,14.7,19.0,338.0,great britain,europe,A,1
aston martin,v8 vantage s,two-seater,4.7,8.0,am7,Z,17.4,11.3,14.7,19.0,338.0,great britain,europe,A,1
aston martin,vanquish,minicompact,6.0,12.0,a8,Z,17.6,11.4,14.8,19.0,340.0,great britain,europe,A,1
aston martin,v8 vantage s,two-seater,4.7,8.0,am7,Z,17.4,11.3,14.7,19.0,343.0,great britain,europe,A,1
aston martin,vantage gt,two-seater,4.7,8.0,am7,Z,17.4,11.3,14.7,19.0,343.0,great britain,europe,A,1
aston martin,v8 vantage,two-seater,4.7,8.0,am7,Z,17.4,11.3,14.7,19.0,343.0,great britain,europe,A,1
aston martin,vanquish,minicompact,6.0,12.0,a8,Z,17.5,11.4,14.7,19.0,345.0,great britain,europe,A,1
aston martin,vanquish zagato,minicompact,6.0,12.0,a8,Z,17.5,11.4,14.7,19.0,346.0,great britain,europe,A,1
aston martin,vanquish,minicompact,6.0,12.0,a8,Z,17.6,11.4,14.8,19.0,346.0,great britain,europe,A,1
aston martin,vanquish,minicompact,6.0,12.0,a8,Z,17.5,11.4,14.7,19.0,346.0,great britain,europe,A,1
aston martin,v8 vantage s,two-seater,4.7,8.0,m6,Z,18.1,12.2,15.4,18.0,354.0,great britain,europe,M,0
aston martin,v8 vantage,two-seater,4.7,8.0,m6,Z,18.1,12.2,15.4,18.0,354.0,great britain,europe,M,0
aston martin,v8 vantage s,two-seater,4.7,8.0,m6,Z,18.1,12.3,15.5,18.0,356.0,great britain,europe,M,0
aston martin,v8 vantage,two-seater,4.7,8.0,m6,Z,18.1,12.3,15.5,18.0,356.0,great britain,europe,M,0
aston martin,vantage gt,two-seater,4.7,8.0,m6,Z,18.1,12.3,15.5,18.0,356.0,great britain,europe,M,0
aston martin,rapide,subcompact,5.9,12.0,a6,Z,18.0,12.6,15.6,18.0,359.0,great britain,europe,A,1
aston martin,db9,minicompact,5.9,12.0,a6,Z,18.0,12.6,15.6,18.0,359.0,great britain,europe,A,1
aston martin,vanquish,minicompact,5.9,12.0,a6,Z,18.0,12.6,15.6,18.0,359.0,great britain,europe,A,1
aston martin,v8 vantage s,two-seater,4.7,8.0,m6,Z,18.1,12.3,15.5,18.0,362.0,great britain,europe,M,0
aston martin,vantage gt,two-seater,4.7,8.0,m6,Z,18.1,12.3,15.5,18.0,362.0,great britain,europe,M,0
aston martin,v8 vantage,two-seater,4.7,8.0,m6,Z,18.1,12.3,15.5,18.0,362.0,great britain,europe,M,0
aston martin,db9 gt,minicompact,5.9,12.0,a6,Z,18.0,12.6,15.6,18.0,365.0,great britain,europe,A,1
aston martin,v12 vantage s,two-seater,6.0,12.0,am7,Z,19.5,12.8,16.5,17.0,379.0,great britain,europe,A,1
aston martin,v12 vantage s,two-seater,6.0,12.0,am7,Z,19.4,12.8,16.4,17.0,388.0,great britain,europe,A,1
aston martin,v12 vantage s,two-seater,6.0,12.0,am7,Z,19.5,12.8,16.5,17.0,390.0,great britain,europe,A,1
aston martin,v12 vantage s,two-seater,6.0,12.0,m7,Z,23.2,14.4,19.2,15.0,450.0,great britain,europe,M,0
audi,a4 ultra,compact,2.0,4.0,am7,Z,8.6,6.4,7.6,37.0,177.0,germany,europe,A,1
audi,a3 tdi (modified),subcompact,2.0,4.0,am6,D,7.6,5.5,6.5,43.0,177.0,germany,europe,A,1
audi,a4,compact,2.0,4.0,am7,Z,8.6,6.4,7.6,37.0,177.0,germany,europe,A,1
audi,a3,subcompact,2.0,4.0,am7,X,8.8,6.5,7.8,36.0,182.0,germany,europe,A,1
audi,a4,compact,2.0,4.0,am7,Z,8.6,6.9,7.8,36.0,182.0,germany,europe,A,1
audi,a3,subcompact,2.0,4.0,am7,X,9.1,6.8,8.0,35.0,188.0,germany,europe,A,1
audi,a3,subcompact,2.0,4.0,am7,X,9.1,6.8,8.1,35.0,188.0,germany,europe,A,1
audi,a3 quattro,subcompact,2.0,4.0,am6,Z,9.8,7.2,8.6,33.0,198.0,germany,europe,A,1
audi,a3,subcompact,1.8,4.0,am6,Z,10.0,7.1,8.7,32.0,200.0,germany,europe,A,1
audi,a3 quattro,subcompact,2.0,4.0,am6,X,9.8,7.2,8.6,33.0,201.0,germany,europe,A,1
audi,a4,compact,2.0,4.0,av8,Z,9.9,7.4,8.8,32.0,202.0,germany,europe,A,1
audi,a5 quattro,subcompact,2.0,4.0,am7,Z,10.0,7.0,8.7,32.0,203.0,germany,europe,A,1
audi,a4 quattro,compact,2.0,4.0,am7,Z,10.0,7.0,8.7,32.0,203.0,germany,europe,A,1
audi,a5 cabriolet quattro,subcompact,2.0,4.0,am7,Z,10.0,7.0,8.7,32.0,203.0,germany,europe,A,1
audi,a5 sportback quattro,mid-size,2.0,4.0,am7,Z,10.0,7.0,8.7,32.0,203.0,germany,europe,A,1
audi,a3,subcompact,1.8,4.0,am6,X,10.0,7.1,8.7,32.0,204.0,germany,europe,A,1
audi,a5 cabriolet quattro,subcompact,2.0,4.0,am7,Z,10.0,7.0,8.7,32.0,204.0,germany,europe,A,1
audi,a4 quattro,compact,2.0,4.0,am7,Z,10.0,7.0,8.7,32.0,204.0,germany,europe,A,1
audi,a5 sportback quattro,mid-size,2.0,4.0,am7,Z,10.0,7.0,8.7,32.0,204.0,germany,europe,A,1
audi,a5 quattro,subcompact,2.0,4.0,am7,Z,10.0,7.0,8.7,32.0,204.0,germany,europe,A,1
audi,a4 quattro,compact,2.0,4.0,m6,Z,9.9,7.0,8.6,33.0,204.0,germany,europe,M,0
audi,a4 quattro,compact,2.0,4.0,m6,Z,9.9,7.1,8.7,32.0,204.0,germany,europe,M,0
audi,a5 quattro,subcompact,2.0,4.0,m6,Z,9.9,7.1,8.7,32.0,204.0,germany,europe,M,0
audi,a3 quattro,subcompact,2.0,4.0,am6,X,9.7,7.5,8.7,32.0,205.0,germany,europe,A,1
audi,a5 quattro,subcompact,2.0,4.0,am7,Z,10.0,7.3,8.8,32.0,205.0,germany,europe,A,1
audi,a4 quattro,compact,2.0,4.0,am7,Z,9.8,7.7,8.8,32.0,205.0,germany,europe,A,1
audi,a5 sportback quattro,mid-size,2.0,4.0,am7,Z,10.0,7.3,8.8,32.0,205.0,germany,europe,A,1
audi,q5 hybrid,suv - small,2.0,4.0,as8,Z,9.8,7.9,8.9,32.0,205.0,germany,europe,A,1
audi,a6 quattro,mid-size,2.0,4.0,am7,Z,9.8,7.4,8.7,32.0,205.0,germany,europe,A,1
audi,a3 cabriolet quattro,subcompact,2.0,4.0,am6,Z,10.1,7.5,8.9,32.0,205.0,germany,europe,A,1
audi,a4 quattro,compact,2.0,4.0,am7,Z,10.0,7.3,8.8,32.0,205.0,germany,europe,A,1
audi,a4,compact,2.0,4.0,av8,Z,9.9,7.6,8.9,32.0,205.0,germany,europe,A,1
audi,a5 cabriolet quattro,subcompact,2.0,4.0,am7,Z,10.0,7.4,8.8,32.0,206.0,germany,europe,A,1
audi,a4 allroad quattro,station wagon - small,2.0,4.0,am7,Z,10.0,7.4,8.8,32.0,206.0,germany,europe,A,1
audi,s3,subcompact,2.0,4.0,am6,Z,10.1,7.7,9.0,31.0,207.0,germany,europe,A,1
audi,a3 cabriolet quattro,subcompact,2.0,4.0,am6,X,10.1,7.5,8.9,32.0,208.0,germany,europe,A,1
audi,a4 quattro,compact,2.0,4.0,m6,Z,10.6,7.3,9.1,31.0,209.0,germany,europe,M,0
audi,tt roadster quattro,two-seater,2.0,4.0,am6,X,10.1,7.8,9.1,31.0,209.0,germany,europe,A,1
audi,tt coupe quattro,subcompact,2.0,4.0,a6,Z,10.4,7.6,9.1,31.0,209.0,germany,europe,A,1
audi,tt roadster quattro,two-seater,2.0,4.0,a6,Z,10.4,7.6,9.1,31.0,209.0,germany,europe,A,1
audi,tt coupe quattro,subcompact,2.0,4.0,am6,Z,10.4,7.6,9.1,31.0,209.0,germany,europe,A,1
audi,a5 quattro,subcompact,2.0,4.0,m6,Z,10.6,7.3,9.1,31.0,209.0,germany,europe,M,0
audi,q5 hybrid quattro,suv - small,2.0,4.0,as8,Z,9.8,7.9,8.9,32.0,209.0,germany,europe,A,1
audi,tt coupe quattro,subcompact,2.0,4.0,am6,X,10.1,7.8,9.1,31.0,209.0,germany,europe,A,1
audi,a5 quattro,subcompact,2.0,4.0,m6,Z,10.4,7.3,9.0,31.0,210.0,germany,europe,M,0
audi,a6 quattro,mid-size,2.0,4.0,as8,Z,10.8,7.3,9.2,31.0,211.0,germany,europe,A,1
audi,s3 quattro,subcompact,2.0,4.0,am6,Z,10.1,7.7,9.0,31.0,211.0,germany,europe,A,1
audi,tt roadster quattro,two-seater,2.0,4.0,am6,Z,10.4,7.7,9.2,31.0,212.0,germany,europe,A,1
audi,a4,compact,2.0,4.0,av8,Z,9.9,7.6,8.9,32.0,212.0,germany,europe,A,1
audi,q5 hybrid,suv - small,2.0,4.0,as8,Z,9.9,8.3,9.2,31.0,212.0,germany,europe,A,1
audi,tt coupe quattro,subcompact,2.0,4.0,am7,X,10.3,7.7,9.2,31.0,213.0,germany,europe,A,1
audi,tt roadster quattro,two-seater,2.0,4.0,am7,X,10.3,7.7,9.1,31.0,213.0,germany,europe,A,1
audi,tt coupe quattro,subcompact,2.0,4.0,am7,X,10.3,7.7,9.1,31.0,213.0,germany,europe,A,1
audi,tt roadster quattro,two-seater,2.0,4.0,am7,X,10.3,7.7,9.2,31.0,213.0,germany,europe,A,1
audi,a7 quattro tdi (modified),mid-size,3.0,6.0,as8,D,9.4,6.2,7.8,36.0,213.0,germany,europe,A,1
audi,a6 quattro tdi (modified),mid-size,3.0,6.0,as8,D,9.4,6.2,7.8,36.0,213.0,germany,europe,A,1
audi,a5 quattro,subcompact,2.0,4.0,m6,Z,10.6,7.3,9.1,31.0,214.0,germany,europe,M,0
audi,a5 quattro,subcompact,2.0,4.0,m6,Z,10.8,7.5,9.3,30.0,214.0,germany,europe,M,0
audi,a4 quattro,compact,2.0,4.0,m6,Z,10.6,7.3,9.1,31.0,214.0,germany,europe,M,0
audi,a4 quattro,compact,2.0,4.0,m6,Z,10.8,7.5,9.3,30.0,214.0,germany,europe,M,0
audi,a6 quattro,mid-size,2.0,4.0,as8,Z,10.6,7.5,9.2,31.0,216.0,germany,europe,A,1
audi,a6 quattro tdi (modified),mid-size,3.0,6.0,as8,D,9.8,6.2,8.1,35.0,217.0,germany,europe,A,1
audi,a4 allroad quattro,station wagon - small,2.0,4.0,am7,Z,10.2,8.3,9.3,30.0,217.0,germany,europe,A,1
audi,a7 quattro tdi (modified),mid-size,3.0,6.0,as8,D,9.8,6.2,8.1,35.0,217.0,germany,europe,A,1
audi,a4 allroad quattro,station wagon - small,2.0,4.0,am7,Z,10.5,7.9,9.3,30.0,217.0,germany,europe,A,1
audi,a6 quattro,mid-size,2.0,4.0,as8,Z,10.9,7.5,9.4,30.0,220.0,germany,europe,A,1
audi,tts coupe,subcompact,2.0,4.0,am7,Z,10.4,8.2,9.4,30.0,220.0,germany,europe,A,1
audi,a4 quattro,compact,2.0,4.0,as8,Z,11.0,7.8,9.6,29.0,221.0,germany,europe,A,1
audi,a5 quattro,subcompact,2.0,4.0,as8,Z,11.0,7.8,9.6,29.0,221.0,germany,europe,A,1
audi,a3 cabriolet quattro,subcompact,2.0,4.0,am7,X,10.7,7.9,9.5,30.0,221.0,germany,europe,A,1
audi,a4 allroad quattro,station wagon - small,2.0,4.0,am7,Z,10.7,8.0,9.5,30.0,221.0,germany,europe,A,1
audi,tts coupe quattro,subcompact,2.0,4.0,am6,Z,10.3,8.6,9.5,30.0,222.0,germany,europe,A,1
audi,s3,subcompact,2.0,4.0,am7,Z,10.7,8.0,9.5,30.0,222.0,germany,europe,A,1
audi,tts coupe,subcompact,2.0,4.0,am6,Z,10.3,8.6,9.5,30.0,222.0,germany,europe,A,1
audi,s3,subcompact,2.0,4.0,am7,Z,10.6,8.3,9.6,29.0,223.0,germany,europe,A,1
audi,a3 cabriolet quattro,subcompact,2.0,4.0,am6,X,10.8,8.0,9.5,30.0,223.0,germany,europe,A,1
audi,a8 quattro tdi (modified),mid-size,3.0,6.0,as8,D,9.8,6.5,8.4,34.0,224.0,germany,europe,A,1
audi,a8l tdi (modified),full-size,3.0,6.0,as8,D,9.8,6.5,8.4,34.0,224.0,germany,europe,A,1
audi,a4 quattro,compact,2.0,4.0,as8,Z,11.0,7.8,9.6,29.0,224.0,germany,europe,A,1
audi,a6 quattro,mid-size,3.0,6.0,am7,Z,10.7,8.2,9.6,29.0,224.0,germany,europe,A,1
audi,a7 quattro,mid-size,3.0,6.0,am7,Z,10.7,8.2,9.6,29.0,224.0,germany,europe,A,1
audi,a8 tdi (modified),mid-size,3.0,6.0,as8,D,9.8,6.5,8.4,34.0,224.0,germany,europe,A,1
audi,a5 quattro,subcompact,2.0,4.0,as8,Z,11.0,7.8,9.6,29.0,224.0,germany,europe,A,1
audi,a3 quattro,subcompact,2.0,4.0,am7,X,10.8,8.0,9.5,30.0,224.0,germany,europe,A,1
audi,a3 cabriolet quattro,subcompact,2.0,4.0,am7,X,10.8,8.0,9.5,30.0,224.0,germany,europe,A,1
audi,a5 cabriolet quattro,subcompact,2.0,4.0,as8,Z,11.3,8.0,9.8,29.0,225.0,germany,europe,A,1
audi,a3 quattro,subcompact,2.0,4.0,am7,X,10.9,7.9,9.6,29.0,225.0,germany,europe,A,1
audi,q5,suv - small,2.0,4.0,as7,Z,10.4,8.6,9.6,29.0,226.0,germany,europe,A,1
audi,a6 quattro,mid-size,3.0,6.0,am7,Z,10.9,8.2,9.7,29.0,226.0,germany,europe,A,1
audi,a7 quattro,mid-size,3.0,6.0,am7,Z,10.9,8.2,9.7,29.0,226.0,germany,europe,A,1
audi,q5,suv - small,2.0,4.0,am7,Z,10.7,8.4,9.7,29.0,226.0,germany,europe,A,1
audi,a5 quattro,subcompact,2.0,4.0,as8,Z,11.0,8.0,9.7,29.0,226.0,germany,europe,A,1
audi,a4 allroad quattro,station wagon - small,2.0,4.0,as8,Z,11.2,8.4,9.9,28.0,228.0,germany,europe,A,1
audi,q5,suv - small,2.0,4.0,am7,Z,10.9,8.7,9.9,29.0,230.0,germany,europe,A,1
audi,s5 sportback,mid-size,3.0,6.0,as8,Z,11.3,8.0,9.8,29.0,230.0,germany,europe,A,1
audi,a5 cabriolet quattro,subcompact,2.0,4.0,as8,Z,11.3,8.0,9.8,29.0,230.0,germany,europe,A,1
audi,s4,compact,3.0,6.0,as8,Z,11.3,8.0,9.8,29.0,230.0,germany,europe,A,1
audi,a5 quattro,subcompact,2.0,4.0,as8,Z,11.5,8.1,10.0,28.0,230.0,germany,europe,A,1
audi,a5 cabriolet quattro,subcompact,2.0,4.0,as8,Z,11.5,8.1,10.0,28.0,230.0,germany,europe,A,1
audi,s5,subcompact,3.0,6.0,as8,Z,11.3,8.0,9.8,29.0,230.0,germany,europe,A,1
audi,a4 quattro,compact,2.0,4.0,as8,Z,11.5,8.1,10.0,28.0,230.0,germany,europe,A,1
audi,a5 cabriolet quattro,subcompact,2.0,4.0,as8,Z,11.3,8.2,9.9,29.0,231.0,germany,europe,A,1
audi,s5,subcompact,3.0,6.0,am8,Z,11.5,8.0,9.9,29.0,232.0,germany,europe,A,1
audi,s4,compact,3.0,6.0,am8,Z,11.5,8.0,9.9,29.0,232.0,germany,europe,A,1
audi,a4 allroad quattro,station wagon - small,2.0,4.0,as8,Z,11.2,8.4,9.9,29.0,232.0,germany,europe,A,1
audi,s3,subcompact,2.0,4.0,am6,Z,11.0,8.5,9.9,29.0,232.0,germany,europe,A,1
audi,s5 sportback,mid-size,3.0,6.0,am8,Z,11.5,8.0,9.9,29.0,232.0,germany,europe,A,1
audi,a7 quattro,mid-size,3.0,6.0,as8,Z,11.6,7.9,9.9,29.0,232.0,germany,europe,A,1
audi,a6 quattro,mid-size,3.0,6.0,as8,Z,11.6,7.9,9.9,29.0,232.0,germany,europe,A,1
audi,s5 cabriolet,subcompact,3.0,6.0,as8,Z,11.4,8.2,9.9,29.0,234.0,germany,europe,A,1
audi,a6 quattro,mid-size,2.0,4.0,as8,Z,12.0,8.1,10.2,28.0,235.0,germany,europe,A,1
audi,a7 quattro,mid-size,3.0,6.0,as8,Z,11.5,8.2,10.0,28.0,235.0,germany,europe,A,1
audi,tts coupe quattro,subcompact,2.0,4.0,am6,Z,11.7,8.4,10.2,28.0,235.0,germany,europe,A,1
audi,a6 quattro,mid-size,3.0,6.0,as8,Z,11.5,8.2,10.0,28.0,235.0,germany,europe,A,1
audi,tts roadster quattro,two-seater,2.0,4.0,am6,Z,11.7,8.5,10.2,28.0,235.0,germany,europe,A,1
audi,q3,compact,2.0,4.0,as6,Z,11.6,8.3,10.1,28.0,236.0,germany,europe,A,1
audi,q3 quattro,compact,2.0,4.0,as6,Z,11.9,8.4,10.3,27.0,237.0,germany,europe,A,1
audi,q3,compact,2.0,4.0,as6,Z,12.0,8.2,10.3,27.0,237.0,germany,europe,A,1
audi,a6 quattro,mid-size,2.0,4.0,as8,Z,12.0,8.1,10.3,27.0,237.0,germany,europe,A,1
audi,tts coupe quattro,subcompact,2.0,4.0,a6,Z,11.5,8.8,10.3,27.0,237.0,germany,europe,A,1
audi,tts roadster quattro,two-seater,2.0,4.0,a6,Z,11.5,8.8,10.3,27.0,237.0,germany,europe,A,1
audi,a7 quattro,mid-size,3.0,6.0,as8,Z,11.5,8.2,10.0,28.0,238.0,germany,europe,A,1
audi,a6 quattro,mid-size,3.0,6.0,as8,Z,11.5,8.2,10.0,28.0,238.0,germany,europe,A,1
audi,q5,suv - small,2.0,4.0,as8,Z,12.0,8.5,10.4,27.0,239.0,germany,europe,A,1
audi,s5 cabriolet,subcompact,3.0,6.0,am8,Z,11.9,8.1,10.2,28.0,239.0,germany,europe,A,1
audi,q3 quattro,compact,2.0,4.0,as6,Z,11.9,8.4,10.3,27.0,240.0,germany,europe,A,1
audi,tt rs coupe,subcompact,2.5,5.0,am7,Z,12.0,8.3,10.3,27.0,241.0,germany,europe,A,1
audi,q3 quattro,compact,2.0,4.0,as6,Z,11.9,8.4,10.3,27.0,241.0,germany,europe,A,1
audi,tt rs,subcompact,2.5,5.0,am7,Z,12.1,8.2,10.3,27.0,241.0,germany,europe,A,1
audi,allroad quattro,station wagon - small,2.0,4.0,as8,Z,11.8,8.8,10.5,27.0,242.0,germany,europe,A,1
audi,a8,mid-size,3.0,6.0,as8,Z,12.6,8.0,10.5,27.0,242.0,germany,europe,A,1
