Marca,Emision CO2 med (g/km)
SMART,152.125
HONDA,191.2621951219512
FIAT,192.28571428571428
MAZDA,192.75590551181102
MINI,196.57
MITSUBISHI,200.0958904109589
SCION,200.8095238095238
HYUNDAI,208.3169398907104
VOLKSWAGEN,209.84491978609626
KIA,213.796875
SUBARU,218.11764705882354
ACURA,221.26
TOYOTA,223.93115942028984
VOLVO,229.94915254237287
ALFA ROMEO,231.31578947368422
BUICK,233.75
NISSAN,237.3755868544601
LEXUS,242.12403100775194
CHRYSLER,244.046875
JEEP,250.795
AUDI,252.31800766283524
BMW,252.7364185110664
INFINITI,254.01149425287358
PORSCHE,259.19256756756755
FORD,261.28596187175043
CHEVROLET,264.4776699029126
LINCOLN,265.81481481481484
CADILLAC,266.36690647482015
JAGUAR,272.7435897435897
DODGE,277.0888888888889
MERCEDES-BENZ,278.6236263736264
GENESIS,282.57142857142856
LAND ROVER,288.07894736842104
RAM,294.18055555555554
GMC,300.52941176470586
MASERATI,318.13461538461536
ASTON MARTIN,344.28205128205127
BENTLEY,367.9142857142857
ROLLS-ROYCE,388.75
SRT,389.0
LAMBORGHINI,402.27027027027026
BUGATTI,522.0
