,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008
Aaden,,,,,,,,,,343
Aaliyah,,,202,335,222,211,64,94,91,77
Aarav,,,,,,,,,,921
Aaron,34,30,28,34,37,41,44,53,57,50
Abagail,,,,,,953,882,934,895,874
Abbey,482,545,419,452,408,425,470,565,695,822
Abbie,685,784,627,642,603,591,532,570,650,737
Abbigail,,,,760,612,551,484,518,490,508
Abby,222,260,213,208,194,205,165,166,205,259
Abdiel,,,,,,,,,,984
Abdul,934,980,994,947,970,,,,,
Abdullah,,,,974,897,870,752,897,888,953
Abel,384,370,399,387,378,352,354,356,338,360
Abigail,90,86,42,32,18,14,7,6,6,8
Abigale,,,,,,954,839,881,889,
Abigayle,,,,,899,715,746,768,777,936
Abraham,246,254,242,227,211,213,204,193,183,187
Abram,920,,848,878,942,796,846,589,586,548
Abril,,,,,957,863,979,836,845,522
Ace,,,,,,,,,838,714
Ada,,,,,,,,852,715,598
Adalyn,,,,,,,,,,526
Adalynn,,,,,,,,,,845
Adam,32,36,38,39,45,45,55,58,64,72
Adamaris,,,,,,,,,920,
Adan,548,498,539,512,533,502,444,285,302,299
Addison,645,634,800,547,548,514,550,542,562,820
Addisyn,,,,,,,,,612,556
Addyson,,,,,,,,895,370,240
Adelaide,,,,,,,,,921,551
Adeline,,,,,,806,688,586,467,361
Adelyn,,,,,,,,,,577
Aden,,,,,,889,466,306,244,254
Adilene,,,984,,,,,,,
Adison,,,,,,,,,767,900
Aditya,,,,,,,865,749,810,702
Adolfo,649,677,586,644,604,546,566,543,581,731
Adonis,,,796,830,790,755,867,781,822,854
Adrian,94,96,98,92,862,997,73,72,63,56
Adriana,144,141,151,153,133,127,142,119,106,124
Adrianna,325,289,307,277,190,215,222,212,179,173
Adrianne,783,822,,,,,,,,
Adriel,,,,,,,916,801,707,584
Adrien,,,,,,937,828,769,754,727
Adrienne,233,279,357,439,440,530,573,724,736,786
Adyson,,,,,,,,,877,648
Aedan,,,,,,,,,760,821
Agustin,627,618,602,613,634,578,598,651,657,740
Ahmad,562,579,535,520,401,454,404,486,524,559
Ahmed,721,724,642,572,594,491,508,525,559,576
Aidan,889,633,440,258,196,114,60,40,44,59
Aiden,,,,824,545,324,135,60,30,16
Aidyn,,,,,,,,,910,699
Aileen,851,795,810,704,485,526,540,511,537,483
Aimee,272,314,295,390,475,556,566,658,763,779
Ainsley,,,,,,,453,398,456,441
Aisha,568,571,625,564,604,691,629,655,683,764
Aiyana,,,,,,800,785,688,739,595
Aja,940,958,885,822,,940,971,,,
Akeelah,,,,,,,,,711,
Akeem,405,562,696,902,,,,,,
Akira,,,,,,,920,,965,705
Alaina,441,436,382,384,399,315,309,267,248,223
Alan,125,129,144,144,161,161,150,131,122,135
Alana,368,386,334,242,254,254,225,178,166,166
Alani,,,,,,,,,933,913
Alanna,474,502,504,462,507,496,492,471,473,461
Alannah,936,,,,,,,,,938
Alayna,,852,653,631,568,426,380,302,268,285
Albert,167,205,209,231,259,284,298,338,354,372
Alberto,225,225,221,236,247,270,262,283,315,338
Alden,949,,,914,783,854,902,733,811,916
Aldo,792,836,904,713,653,663,408,608,587,569
Aleah,,,943,708,677,603,729,696,667,627
Alec,271,172,109,117,112,156,206,246,328,390
Alecia,678,751,875,866,,,,,,
Aleena,,,,,,,,889,830,664
Alejandra,211,149,147,160,157,174,191,205,232,255
Alejandro,126,113,106,107,95,89,92,99,96,105
Alek,,,937,953,,970,,,,
Alena,,,919,799,768,722,730,679,665,686
Alesha,695,782,790,961,,,,,,
Alessandra,829,807,852,786,753,672,638,504,361,407
Alessandro,,,,,871,936,711,675,608,624
Alex,802,617,581,636,771,918,975,984,67,85
Alexa,146,140,95,100,92,87,69,72,39,50
Alexander,873,927,22,22,22,20,15,15,12,6
Alexandra,37,29,28,26,27,36,38,37,40,61
Alexandre,950,987,896,967,921,,,,,
Alexandrea,653,508,526,545,668,733,879,1000,,
Alexandria,95,73,72,76,81,91,105,125,147,189
Alexandro,837,882,790,826,855,801,715,729,861,
Alexia,557,522,308,266,229,165,128,132,164,213
Alexis,66,40,227,8,6,6,5,11,14,169
Alexus,,616,250,178,184,251,316,427,545,721
Alexys,,,,,991,842,909,,,
Alexzander,,,,,,966,758,642,615,674
Alfonso,423,420,432,442,465,489,494,522,552,585
Alfred,364,403,476,496,538,577,656,716,755,787
Alfredo,272,274,274,273,296,301,303,327,334,388
Ali,687,771,674,676,795,925,320,865,360,866
Alia,,,,934,931,731,853,830,928,929
Aliana,,,,,,,,,,907
Alice,347,372,422,430,439,421,444,404,383,326
Alicia,53,71,83,91,98,121,121,130,167,178
Alijah,,,,,,,684,632,584,469
Alina,664,639,561,559,494,465,433,392,355,245
Alisa,460,513,542,561,579,609,631,704,890,867
Alisha,135,162,200,240,341,401,408,448,584,642
Alison,133,147,153,166,188,231,230,229,271,273
Alissa,276,272,260,267,250,279,301,336,377,438
Alisson,,,,,,,,,,783
Alivia,,,,995,659,562,430,331,254,181
Aliya,,,,,,718,741,766,699,668
Aliyah,,,359,391,335,287,203,221,236,192
Aliza,,,,,,944,817,777,856,861
Alize,,,,748,713,796,745,920,959,
Allan,382,385,428,481,452,484,478,444,507,552
Allen,141,166,179,212,239,251,246,256,283,294
Allie,579,561,450,438,312,392,371,294,229,230
Allison,48,48,34,38,38,44,44,40,46,32
Allisson,,,,,,,,,,418
Ally,,,,,416,604,581,592,630,766
Allyson,236,229,210,232,186,243,234,238,259,266
Allyssa,709,763,770,731,662,803,962,,,
Alma,386,368,433,448,486,491,544,608,616,792
Alondra,,,,157,203,182,162,150,170,201
Alonso,805,829,862,765,736,638,621,676,643,660
Alonzo,476,506,465,509,525,517,523,548,558,542
Alphonso,806,983,,,,,,,,
Alton,704,769,841,948,887,,994,,,
Alvaro,576,576,561,576,568,511,578,590,570,639
Alvin,331,369,419,451,445,469,463,514,513,437
Alycia,524,686,835,755,921,926,972,,,
Alysa,900,864,862,839,774,766,808,822,,
