,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008
Alyse,816,,,,,,,,,
Alysha,410,482,564,627,791,911,963,,,
Alysia,643,664,823,746,884,,,,,
Alyson,358,399,372,396,409,461,445,456,471,480
Alyssa,27,30,26,23,11,12,12,14,19,16
Alyssia,,,,950,952,,,,,
Alyvia,,,,,,,,,,970
Amanda,4,3,8,13,19,32,46,67,102,138
Amani,,,,828,733,746,674,600,687,583
Amara,,,,,,801,791,606,573,578
Amare,,,,,,,,,778,677
Amari,,,,888,680,681,472,440,519,393
Amarion,,,,,,,718,490,,
Amaris,,,,,,,,823,909,987
Amaya,,,,,,196,282,207,215,198
Amber,15,19,21,27,37,46,65,88,136,165
Amelia,194,214,226,222,217,207,139,96,82,68
Amelie,,,,,,,,838,784,781
America,,,,,912,712,410,480,458,503
Amiah,,,,,,,,,,963
Amie,698,860,944,,,,,,,
Amina,,,,,,983,946,898,978,763
Amir,608,651,566,536,442,414,360,340,324,297
Amira,,,,,915,833,761,652,571,436
Amirah,,,,,,,,,971,765
Amiya,,,,,,936,997,733,742,660
Amiyah,,,,,,,,814,635,479
Amos,739,791,849,982,987,,,,,
Amy,38,51,77,88,96,107,109,106,128,132
Amya,,,,,,568,632,423,476,493
Ana,124,137,143,141,141,136,134,139,143,169
Anabel,746,,,,,,,965,,955
Anabella,,,,,,,,,,919
Anabelle,,,,,,,,,757,710
Anahi,,,,,515,365,359,380,287,437
Anais,,850,,,,,,,869,
Anastasia,382,352,324,327,265,309,265,288,288,360
Anaya,,,,,,900,666,512,486,439
Anders,,,,,,,,,987,
Anderson,881,852,814,808,872,779,663,594,399,326
Andon,,,,,,,,863,,
Andre,137,140,148,172,193,197,209,200,207,220
Andrea,40,39,49,61,61,55,56,57,59,71
Andreas,897,916,905,908,898,954,,966,880,969
Andres,203,186,163,161,157,165,158,169,161,158
Andrew,7,5,10,10,9,7,6,6,8,12
Andria,870,978,971,,,,,,,
Andy,275,252,258,235,223,211,208,205,204,211
Anfernee,,,,597,,,,,,
Angel,174,180,176,162,81,67,49,44,31,36
Angela,52,69,81,90,100,79,83,105,114,133
Angeles,,,,,,,,972,,
Angelia,501,,,,,,,,,
Angelica,119,100,108,97,109,138,146,176,208,257
Angelina,261,284,302,310,268,157,75,60,48,69
Angeline,,,,,,,,,863,784
Angelique,631,313,460,455,469,466,497,604,693,687
Angelo,335,334,347,333,302,303,278,269,262,284
Angie,586,652,644,643,597,499,384,379,389,340
Anika,,962,,811,731,625,509,477,485,573
Anissa,,854,452,711,669,753,778,903,,
Anita,405,454,550,582,657,736,863,906,,
Aniya,,,,,,578,385,262,262,272
Aniyah,,,,,,724,412,296,220,187
Anjali,,,,,,932,938,,,
Anjelica,923,734,889,951,,,,,,
Ann,251,295,341,397,467,493,521,686,731,830
Anna,45,49,41,33,31,22,20,20,23,26
Annabel,,,,,,942,814,849,848,801
Annabella,,,,,,,712,726,556,589
Annabelle,,,,924,641,463,330,300,206,188
Annalise,,,,,,823,731,746,589,702
Annamarie,,,985,889,,974,,,,
Anne,155,182,204,219,274,298,326,399,460,499
Annemarie,996,,,,,,,,,
Annette,513,548,643,717,769,744,598,695,881,
Annie,334,353,338,292,324,306,315,385,398,392
Annika,,,,667,472,446,346,326,335,402
Annmarie,973,945,,,,,,,,
Ansley,,,,957,750,761,677,661,704,719
Anthony,15,19,18,19,19,17,12,11,9,7
Antione,937,,,,,,,,,
Antoine,361,446,550,558,553,591,626,630,631,693
Antoinette,354,476,569,644,757,970,,,,
Anton,603,695,579,720,672,699,650,751,725,832
Antonia,661,653,671,395,539,613,637,782,,
Antonio,77,85,88,80,79,82,85,93,93,102
Antony,832,844,874,775,832,784,780,762,815,895
Antwan,534,610,692,730,720,708,935,919,828,879
Antwon,668,727,,,,,,,,
Anya,,,,,845,586,485,468,405,375
April,73,103,127,177,182,214,254,279,319,333
Arabella,,,,,,,,,653,657
Araceli,556,523,547,595,595,598,487,547,570,767
Aracely,,,,,,914,655,716,722,868
Areli,,,,,,,,856,979,848
Arely,,,,,,906,698,582,576,610
Ari,862,845,807,791,873,788,712,678,634,532
Aria,,,,,,957,735,683,661,575
Ariana,227,207,166,156,137,109,93,79,78,81
Arianna,411,396,282,214,167,128,114,86,77,66
Aric,693,720,791,821,837,978,,,,
Ariel,94,87,480,463,475,550,513,551,471,570
Ariella,,,,,,,,,,923
Arielle,186,283,417,419,434,544,578,641,587,619
Arjun,,,,,,,960,741,720,755
Arlene,682,619,705,706,725,797,762,985,,
Armand,,988,,949,,,,,,
Armando,229,233,226,222,224,237,243,241,264,293
Armani,,,980,738,926,752,901,728,936,755
Arnav,,,,,,,,889,932,974
Arnold,559,577,638,681,713,763,896,900,,
Arnulfo,,996,,,,,,,,
Aron,600,555,622,575,602,597,643,640,640,600
Arron,673,667,708,772,863,,,,,
Arsenio,742,,,,,,,,,
Arthur,196,218,248,276,290,316,327,357,377,363
Arturo,259,268,273,265,291,291,288,308,323,352
Aryan,,,,,,,871,644,684,669
Aryana,,,,,,,,882,823,753
Aryanna,,,,,,898,815,778,652,613
Asa,799,846,798,846,793,657,670,672,623,633
Asha,997,842,863,890,853,884,,,,
Ashanti,,,869,691,831,,115,533,882,930
Ashely,632,774,886,,,,,,,
Asher,,966,883,776,686,579,485,334,252,206
Ashlee,154,154,180,202,267,314,353,282,338,535
Ashleigh,178,197,206,238,288,337,274,417,688,927
Ashley,656,806,957,3,4,4,6,8,12,18
Ashli,722,865,,768,,,,,,
Ashlie,476,505,579,678,894,,,,,
Ashly,535,590,730,756,866,945,818,839,780,838
Ashlyn,559,371,256,227,202,178,158,131,140,153
Ashlynn,,817,590,513,448,387,348,286,293,282
Ashton,365,391,355,327,318,353,378,76,121,121
Ashtyn,,,,,,964,889,954,,975
Asia,299,251,234,200,206,220,266,247,332,386
Aspen,,,708,629,590,570,556,548,572,700
Astrid,,,,974,,,,939,,
Athena,731,803,812,688,549,528,503,486,504,455
Atticus,,,,,,,,933,767,689
Aubree,,857,924,918,854,755,707,727,426,276
Aubrey,711,711,683,742,827,844,941,190,92,42
Aubrie,,,,,,,981,857,604,470
Audra,673,712,749,894,974,,,,,
Audrey,161,175,162,164,145,115,100,80,68,44
Audrina,,,,,,,,,,353
August,846,814,750,709,598,613,664,673,618,482
Augustus,,891,866,942,924,955,840,841,831,795
Aurora,716,680,669,632,504,488,435,321,312,288
Austen,705,639,505,423,532,704,822,,924,
Austin,55,38,860,9,10,23,26,35,41,55
Auston,,,891,894,879,,,,,
Austyn,,,820,629,656,789,754,,974,
Autumn,177,170,117,104,77,77,73,82,95,89
Ava,953,833,750,739,350,180,82,25,5,5
Avah,,,,,,,,,,972
Averi,,,,,,,,,,966
Averie,,,,,,,,981,899,768
Avery,797,543,484,486,246,245,245,77,52,38
Axel,898,908,953,859,794,364,313,325,295,272
Ayaan,,,,,,,,,,908
Ayana,,922,751,819,724,696,682,730,700,814
Ayanna,,930,678,659,447,432,472,467,527,579
Aydan,,,,,,,,665,576,567
Ayden,,,,,,666,322,182,119,91
Aydin,,,,,,,,885,731,627
Ayla,818,783,813,847,909,874,793,713,264,406
Aylin,,,,,737,725,939,916,776,557
Azaria,,,,,,,,,,954
Azul,,,,,,,,,,611
Baby,861,725,700,898,900,847,944,793,,
Babyboy,,,,,977,,,,,
Bailee,,,887,479,414,428,526,619,651,513
Bailey,226,989,768,85,60,68,84,434,635,82
Barbara,210,249,318,402,463,521,559,674,561,758
Baron,,,,,,,,,,991
Barrett,696,885,884,909,993,982,920,773,762,609
Barry,348,459,497,552,610,678,859,961,,
Baylee,,,,331,316,339,406,498,469,419
Beatrice,720,742,872,913,935,971,,,966,833
Beatriz,472,489,554,597,643,678,866,930,,
Beau,337,392,395,425,450,465,506,402,438,397
Beckett,,,,,,,,,758,480
Beckham,,,,,,,,,,893
Becky,862,993,,,,,,,,
Belen,,,,,,937,803,883,914,869
Belinda,624,735,814,971,,,,,809,747
Bella,,,,,,748,427,260,181,122
Ben,514,536,615,580,562,561,547,528,555,611
Benito,795,739,757,755,874,893,,,,
Benjamin,33,33,31,29,30,26,27,25,24,25
Bennett,674,671,662,565,485,441,445,403,369,361
Bennie,872,,,,,,,,,
Benny,714,722,867,801,852,836,866,941,962,
Bentley,,,,,,,,,,937
Berenice,,823,771,752,761,818,842,,,
Bernadette,735,840,,,,,,,,
Bernard,430,418,495,566,616,654,756,764,945,940
Bernardo,764,824,671,725,791,897,847,877,975,
Beth,392,515,675,837,,,,,,
Bethany,107,114,116,117,132,151,179,208,244,318
Bethzy,,,,,,,,,878,
Betsy,739,837,990,,,,,,743,
Betty,577,721,757,919,,,,,,
Beverly,521,531,608,782,936,,,,,
Bianca,84,97,110,123,156,170,168,172,182,204
Bilal,,,,,,,954,,,
Bill,992,898,,,,,,,,
Billie,830,890,838,952,,,,,,
Billy,214,230,255,286,332,385,424,459,473,564
Bishop,,,,,961,,,,,
Blaine,400,438,502,506,498,455,434,565,572,614
Blair,580,652,842,665,826,972,,,,
Blaise,,,1000,977,899,943,801,890,985,
Blake,937,996,965,991,85,80,76,95,97,90
Blanca,397,419,476,519,581,644,717,863,800,
Blaze,,,,,,877,794,816,868,866
Bo,602,622,758,769,833,975,984,864,771,840
Bobbi,766,831,682,835,981,,,,,
Bobbie,638,764,631,753,,,,,,
Bobby,185,221,254,289,324,363,400,453,480,525
Bode,,,,,,,,,848,
Bonnie,380,449,530,590,717,922,,,,
Boston,,,,,,,,908,626,563
Brad,362,462,515,499,581,631,748,832,897,
Braden,485,412,341,277,250,204,168,153,141,156
Bradford,579,628,663,727,834,,,,,
Bradley,65,72,83,83,101,131,149,176,188,201
Bradly,635,707,764,841,777,931,,,,
Brady,315,238,173,176,163,190,147,122,105,94
Bradyn,,,,,,,963,790,675,612
Braeden,,,,827,635,451,361,324,331,346
Braedon,,,,,,793,819,712,744,822
Braelyn,,,,,,,,,855,563
Braiden,,,,,,983,749,669,602,494
Brandan,746,658,715,701,757,858,,,,
Branden,300,251,270,288,309,337,370,420,472,586
Brandi,103,110,122,161,256,388,527,664,967,
Brandie,551,600,707,842,,,,,,
Brandon,19,6,6,8,7,12,20,22,27,33
Brandy,137,168,214,215,284,399,498,659,801,
Brandyn,807,640,680,757,792,971,,,,
Brannon,,990,995,,909,,,,,
Branson,,,,998,931,979,,949,862,873
Brant,775,937,916,957,880,984,,,,
Braulio,,,,,,,,850,966,
Braxton,715,648,442,397,323,336,330,220,224,202
Brayan,,,,843,688,485,356,336,294,333
Brayden,,792,588,388,283,199,138,107,79,51
Braydon,,,,892,629,558,516,415,396,325
Braylen,,,,,,,,,756,572
Braylon,,,,,,,,703,401,252
Brea,,875,853,,,,,,,
Breana,546,443,378,381,459,542,616,719,844,
Breann,775,736,854,709,953,,,,,
Breanna,113,94,84,74,76,80,104,117,126,168
Breanne,498,486,553,571,788,979,,,,
Bree,938,973,,,,,,,955,
Brenda,123,119,121,132,149,172,213,201,239,342
Brendan,155,144,129,131,99,101,124,148,185,207
Brenden,518,433,337,293,245,243,259,277,317,353
Brendon,451,363,342,349,318,348,401,460,501,578
Brenna,418,356,278,247,287,310,328,330,381,420
Brennan,383,367,329,297,274,276,274,300,299,263
Brennen,899,777,666,655,534,548,583,629,732,651
Brennon,,,,924,896,980,,,,
Brent,127,160,188,226,249,318,363,404,481,558
Brenton,469,541,577,573,676,717,833,875,942,975
Breonna,,932,739,773,933,975,940,,,
Bret,418,466,494,545,605,658,868,,,
Brett,84,97,107,110,133,163,198,222,304,311
Bria,,334,252,389,531,661,700,950,870,924
Brian,27,31,37,36,41,43,51,59,72,87
Briana,109,79,68,72,79,83,102,120,121,145
Brianda,,777,,,,,,,,
Brianna,61,43,27,17,17,15,17,17,20,23
Brianne,318,332,356,398,506,679,864,924,,
Brice,529,584,574,600,527,572,605,646,695,710
Bridger,,,,,,,,,,978
Bridget,191,201,174,192,237,273,288,309,347,394
Bridgett,839,,876,,,,,,,
Bridgette,440,562,523,577,670,875,,,,
Brielle,,804,766,615,676,702,711,487,459,338
Briley,,,,,,,,,960,819
Brionna,,,740,740,947,915,980,,,
Brisa,,,,,,481,696,750,605,787
Britany,491,610,842,,,,,,,
Britney,136,194,263,382,451,137,236,350,474,689
Britni,611,877,,,,,,,,
Britny,723,,,,,,,,,
Brittaney,688,866,,,,,,,,
Brittani,230,320,429,538,728,,,,,
Brittanie,553,611,746,,,,,,,
Brittany,996,4,7,14,25,61,170,240,318,421
Brittnee,713,,,,,,,,,
Brittney,44,68,89,115,143,147,317,491,626,
Brittni,357,549,663,914,,,,,,
Brittnie,843,,,,,,,,,
Brittny,591,882,,,,,,,,
Britton,938,943,,,,,,,,
Brock,257,306,328,299,279,268,264,245,261,277
Broderick,890,903,917,822,971,,,982,884,899
Brodie,,,,,,944,701,616,442,421
Brody,796,612,472,395,350,338,279,210,147,70
Brogan,,,,,,,,,999,833
Bronson,687,762,802,847,875,871,,1000,,987
Brook,868,692,635,694,675,813,,,,
Brooke,70,59,54,45,46,51,52,46,44,52
Brooklyn,911,552,385,286,200,177,152,101,67,47
Brooklynn,,,,769,542,516,462,345,237,182
Brooks,681,672,645,662,729,705,737,633,592,601
Bruce,240,291,330,364,383,432,467,478,482,476
Bruno,993,,,999,,967,781,786,793,801
Bryan,57,57,66,66,74,70,64,65,66,82
Bryana,,998,804,796,809,912,844,,,
Bryanna,633,475,391,363,293,331,312,393,424,512
Bryant,204,261,303,308,312,317,304,317,389,404
Bryce,169,175,150,120,94,92,97,108,109,116
Brycen,,,,,957,790,734,659,588,483
Brylee,,,,,,,,,885,531
Bryn,,,,,,,,911,,
Brynlee,,,,,,,,,,895
Brynn,,,,,721,614,582,358,402,323
Bryon,708,770,900,968,,,,,,
Bryson,550,510,468,351,321,269,229,201,176,178
Bryton,,,987,,,,,,,
Byron,265,314,368,410,422,438,486,509,523,451
Cade,885,827,592,493,335,216,207,251,288,310
Caden,,870,731,633,464,239,153,104,91,95
Cadence,,,,,,,959,218,214,212
Cael,,,,,,,774,955,917,834
Caiden,,,,,,,679,400,312,250
Cailyn,,,,,,,,,872,738
Cain,,,901,958,,,,,,
Caitlin,50,62,78,84,78,75,123,161,207,235
Caitlyn,183,156,150,138,115,118,148,164,199,227
Caitlynn,,,977,975,735,822,999,,,
Cale,921,863,958,915,856,837,743,774,733,623
Caleb,88,74,60,48,42,38,35,33,34,34
Caleigh,,,,,954,880,,,,
Cali,,,,,895,816,819,756,602,426
Calista,,,,,696,626,777,874,,
Callie,297,292,343,318,300,321,335,346,303,233
Callum,,,,,,,,,,976
Calvin,173,194,195,183,203,214,221,219,220,228
Camden,955,878,803,684,522,361,285,233,221,204
Cameron,675,698,632,517,35,31,39,50,52,53
Camila,,,,,814,659,454,287,180,83
Camilla,,,,,,,,912,825,634
Camille,243,259,287,300,283,269,267,252,308,300
Campbell,,,,,,,,796,659,762
Camren,,,,,,860,730,613,579,675
Camron,762,818,759,786,461,412,349,339,345,445
Camryn,,,,,366,183,250,222,929,900
Candace,142,185,254,362,479,601,738,820,,
Candice,147,198,291,415,593,716,927,,,
Candy,949,,,,,,,,,
Cannon,,,,,,,,830,796,631
Cara,235,247,272,325,357,393,480,508,559,463
Carey,858,961,,,,,,,,
Cari,959,,,,,,,,,
Carina,544,474,453,417,552,566,654,731,864,901
Carissa,257,239,304,373,400,411,420,473,585,727
Carl,145,182,204,250,260,304,350,370,429,490
Carla,263,276,335,360,406,404,386,469,501,584
Carlee,,715,726,674,613,629,645,631,654,701
Carleigh,,,,,,,,,,996
Carley,761,409,411,376,389,410,488,510,550,637
Carli,,713,660,622,649,740,871,989,,
Carlie,924,605,556,491,468,500,562,503,592,673
Carlo,838,914,918,885,994,901,964,950,937,992
Carlos,75,69,72,67,69,66,65,71,70,73
Carlton,425,480,547,616,687,749,912,,,
Carly,163,134,138,124,140,169,206,177,251,197
Carmelo,,,,,,,,910,870,941
Carmen,217,228,239,321,277,271,305,239,258,262
Carmine,,,,,,,,,785,
Carol,350,412,493,565,658,726,854,847,968,
Carolina,302,305,269,275,299,267,291,254,281,355
Caroline,116,105,94,78,74,65,67,74,89,94
Carolyn,169,196,231,233,327,308,366,418,517,678
Carrie,170,221,275,319,420,503,753,811,859,
Carsen,,,,,,,,,,993
Carson,456,950,925,812,732,655,799,101,87,89
Carter,551,451,421,243,189,152,107,88,75,65
Cary,817,967,,,,,,,,
Casandra,407,496,506,572,599,719,723,,,
Case,,,,,,,,,951,956
Casey,89,109,118,142,170,208,300,382,411,466
Cash,,,,,,,,798,378,253
Cason,,,,,,,936,804,753,571
Cassandra,49,52,66,89,85,100,126,173,219,284
Cassidy,922,991,139,109,113,105,131,168,198,228
Cassie,228,234,305,403,309,347,539,662,732,908
Cassius,,,,,,,,,,945
Cassondra,724,878,,,,,,,,
Catalina,956,895,839,858,939,763,795,761,696,707
Catherine,71,78,85,94,102,81,101,103,122,149
Cathy,914,,,,,,,,,
Catrina,908,988,,,,,,,,
Cayden,,,,,,625,376,264,213,173
Cayla,550,568,574,535,558,596,656,781,886,
Caylee,,,,,,,,,,519
Cecelia,847,938,855,743,806,778,742,699,669,756
Cecil,664,742,836,884,,,,,,
Cecilia,326,275,286,269,285,283,269,277,265,270
Cecily,574,,,,,,,,,
Cedric,377,407,417,399,419,464,482,579,595,650
Cedrick,828,968,,920,,,,,,
Celeste,398,385,259,243,252,274,308,204,327,397
Celia,589,655,696,662,619,620,651,675,707,757
Celina,704,615,423,630,663,767,828,,,
Celine,,,819,774,456,676,779,797,,
Cesar,199,195,178,170,168,170,162,157,168,165
Chace,,,,,,,,,,655
Chad,85,108,130,160,187,235,309,344,375,454
Chadwick,594,705,919,983,,,,,,
Chaim,893,922,922,860,801,867,888,833,946,858
Chana,,,,,,,966,931,990,971
Chance,316,329,216,154,208,212,233,250,273,255
Chandler,486,541,444,485,588,711,989,282,402,457
Chandra,742,967,,,,,,,,
Chanel,419,393,531,560,694,819,,922,917,775
Chanelle,925,979,,,,,,,,
Channing,951,886,,,,,,,,
Chantal,552,719,864,824,,,,,,
Chantel,362,405,480,506,682,885,,,,
Chantelle,721,778,936,,,,,,,
Charity,458,500,516,487,529,459,506,571,673,793
Charlee,,,,,,,,,915,820
Charlene,394,506,570,728,855,,,,,
Charles,38,43,43,43,48,51,58,56,60,63
Charlie,422,452,477,476,454,452,417,351,761,736
Charlize,,,,,,,,623,751,905
Charlotte,287,287,290,302,305,289,204,170,123,87
Charmaine,819,780,,,,,,,,
Chase,110,116,114,884,955,77,82,81,83,67
Chasity,373,362,370,459,454,492,568,728,744,956
Chastity,915,989,,,,,,,,
Chauncey,952,,,,947,,,,,
Chaya,894,959,920,925,970,779,701,752,785,749
Chaz,448,511,563,601,705,700,811,914,905,959
Chelsea,24,15,38,55,94,140,178,194,192,221
Chelsey,128,117,178,224,348,475,604,739,790,
Chelsi,762,677,,,,,,,,
Chelsie,273,227,353,474,650,,,,,
Chelsy,,879,,,,,,,,
Cherie,865,,,,,,,,,
Cherish,992,,,,,,,,754,739
Cheryl,415,533,683,809,,,,,,
Chester,676,725,928,,,,,,,
Cheyanne,,687,436,307,329,370,428,566,657,496
Cheyenne,330,169,99,69,72,99,127,153,171,159
China,,818,950,992,,,,,,
Chloe,212,161,155,112,87,38,25,23,18,10
Chris,449,471,484,414,406,395,382,396,358,348
Christa,372,344,454,504,637,783,857,982,,
Christen,650,670,680,793,,,,,,
Christian,60,35,35,374,483,576,773,819,21,23
Christiana,831,737,715,695,729,802,846,923,984,
Christie,436,518,677,903,,,,,,
Christin,615,731,843,978,,,,,,
Christina,25,33,39,57,69,73,97,123,158,200
Christine,62,82,104,135,176,217,303,373,437,539
Christion,,,,,988,,,,,
Christopher,982,2,2,4,5,5,8,10,7,9
Christy,284,357,395,460,614,667,820,,,
Chrystal,696,859,,,,,,,,
Chyna,,,,953,598,527,,,,
Chynna,,939,,833,,,,,,
Ciara,294,208,208,205,251,282,336,323,213,324
Cielo,,,,,,894,,,,
Ciera,443,410,418,467,508,550,713,828,,
Cierra,268,264,205,187,181,230,252,349,563,788
Cindy,185,183,197,195,236,262,258,305,365,434
Cinthia,,,,942,,,,,,
Citlali,,,,,,,960,957,948,
Citlalli,,,,,,809,,,,
Claire,159,158,149,116,91,86,95,98,86,62
Clara,522,469,434,400,375,354,306,285,233,206
Clare,657,679,623,526,499,537,595,649,663,679
Clarence,373,429,456,528,563,616,691,745,818,938
Clarisa,,,665,,,,,,,
Clarissa,322,243,236,244,302,325,342,367,468,560
Clark,537,623,634,641,733,764,805,724,696,698
Claude,833,887,,,,,,,,
Claudia,199,190,199,173,179,200,224,270,339,417
Clay,444,483,354,370,394,397,418,583,708,849
Clayton,153,167,149,149,150,151,178,198,226,233
Clifford,346,415,507,539,655,753,841,823,,
Clifton,473,538,636,695,696,740,968,,,
Clint,375,396,488,611,778,917,,,,
Clinton,201,211,397,516,589,634,727,731,844,856
Cloe,,,,,,,,,941,915
Clyde,638,732,875,959,925,,,,,
Coby,986,879,892,731,575,529,500,702,832,835
Codey,800,681,699,788,,,,,,
Codi,,856,932,,,,,,,
Codie,930,712,772,886,,,,,,
Cody,858,963,25,31,43,60,71,85,106,122
Coen,,,,,,,,,963,
Cohen,,,,,,,,650,415,356
Colby,244,197,200,225,220,233,125,185,271,273
Cole,248,143,111,106,77,71,69,75,84,84
Coleman,787,649,593,547,528,544,556,634,661,741
Colin,122,127,124,126,122,117,116,84,111,114
Colleen,160,184,207,272,344,455,547,700,902,
Collin,239,187,152,115,130,129,148,130,181,143
Colt,768,691,655,669,758,814,856,,906,533
Colten,619,571,558,500,493,531,561,575,510,408
Colter,,997,,,,,,,,
Colton,139,134,121,105,105,110,128,135,133,98
Conner,628,296,225,199,192,191,196,134,144,163
Connie,483,573,599,800,867,,,,,
