Name,Chapter_1,Chapter_2,Chapter_3,Chapter_4,Chapter_5,Chapter_6,Chapter_7,Chapter_8,Chapter_9,Chapter_10,Chapter_11,Chapter_12,Chapter_13,Chapter_14,Chapter_15,Chapter_16,Chapter_17,Chapter_18,Chapter_19,Chapter_20,Chapter_21,Chapter_22,Chapter_23,Chapter_24,Chapter_25,Chapter_26,Chapter_27,Chapter_28,Chapter_29,Chapter_30,Chapter_31,Chapter_32,Chapter_33,Chapter_34,Chapter_35,Chapter_36,Chapter_37,Chapter_38,Chapter_39,Chapter_40,Chapter_41,Chapter_42,Chapter_43
Tom,6,24,5,1,0,2,5,2,1,2,2,3,1,0,1,2,9,6,1,1,1,2,0,0,2,1,0,2,1,0,1,5,19,15,18,19,11,32,12,11,9,32,38
Jim,0,16,0,8,0,0,0,22,11,19,4,20,9,6,16,28,0,10,13,18,2,0,9,5,0,1,0,1,3,5,17,0,5,17,18,24,4,27,10,13,0,12,18
Huck,3,2,3,1,0,2,0,6,1,0,4,1,0,6,7,10,0,1,0,7,0,0,7,1,1,1,2,1,2,1,2,0,1,6,9,2,0,3,1,3,1,2,7
