1990,1992,1994,1996,1998,2000,2002,2004,2006,2008
Aaron 34,Aaron 30,Aaliyah 202,Aaliyah 335,Aaliyah 222,Aaliyah 211,Aaliyah 64,Aaliyah 94,Aaliyah 91,Aaden 343
Abbey 482,Abbey 545,Aaron 28,Aaron 34,Aaron 37,Aaron 41,Aaron 44,Aaron 53,Aaron 57,Aaliyah 77
Abbie 685,Abbie 784,Abbey 419,Abbey 452,Abbey 408,Abagail 953,Abagail 882,Abagail 934,Abagail 895,Aarav 921
Abby 222,Abby 260,Abbie 627,Abbie 642,Abbie 603,Abbey 425,Abbey 470,Abbey 565,Abbey 695,Aaron 50
Abdul 934,Abdul 980,Abby 213,Abbigail 760,Abbigail 612,Abbie 591,Abbie 532,Abbie 570,Abbie 650,Abagail 874
Abel 384,Abel 370,Abdul 994,Abby 208,Abby 194,Abbigail 551,Abbigail 484,Abbigail 518,Abbigail 490,Abbey 822
Abigail 90,Abigail 86,Abel 399,Abdul 947,Abdul 970,Abby 205,Abby 165,Abby 166,Abby 205,Abbie 737
Abraham 246,Abraham 254,Abigail 42,Abdullah 974,Abdullah 897,Abdullah 870,Abdullah 752,Abdullah 897,Abdullah 888,Abbigail 508
Abram 920,Adam 36,Abraham 242,Abel 387,Abel 378,Abel 352,Abel 354,Abel 356,Abel 338,Abby 259
Adam 32,Adan 498,Abram 848,Abigail 32,Abigail 18,Abigail 14,Abigail 7,Abigail 6,Abigail 6,Abdiel 984
Adan 548,Addison 634,Adam 38,Abraham 227,Abigayle 899,Abigale 954,Abigale 839,Abigale 881,Abigale 889,Abdullah 953
Addison 645,Adolfo 677,Adan 539,Abram 878,Abraham 211,Abigayle 715,Abigayle 746,Abigayle 768,Abigayle 777,Abel 360
Adolfo 649,Adrian 96,Addison 554,Adam 39,Abram 942,Abraham 213,Abraham 204,Abraham 193,Abraham 183,Abigail 8
Adrian 94,Adriana 141,Adilene 984,Adan 512,Abril 957,Abram 796,Abram 846,Abram 589,Abram 586,Abigayle 936
Adriana 144,Adrianna 289,Adolfo 586,Addison 544,Adam 45,Abril 863,Abril 979,Abril 836,Abril 845,Abraham 187
Adrianna 325,Adrianne 822,Adonis 796,Adolfo 644,Adan 533,Adam 45,Adam 55,Ada 852,Ace 838,Abram 548
Adrianne 783,Adrienne 279,Adrian 98,Adonis 830,Addison 403,Adan 502,Adan 444,Adam 58,Ada 715,Abril 522
Adrienne 233,Agustin 618,Adriana 151,Adrian 92,Adolfo 604,Addison 322,Addison 220,Adan 285,Adam 64,Ace 714
Agustin 627,Ahmad 579,Adrianna 307,Adriana 153,Adonis 790,Adeline 806,Adeline 688,Addison 160,Adamaris 920,Ada 598
Ahmad 562,Ahmed 724,Adrienne 357,Adrianna 277,Adrian 71,Aden 889,Aden 466,Addyson 895,Adan 302,Adalyn 526
Ahmed 721,Aidan 633,Agustin 602,Adrienne 439,Adriana 133,Adolfo 546,Aditya 865,Adeline 586,Addison 27,Adalynn 845
Aidan 889,Aileen 795,Ahmad 535,Agustin 613,Adrianna 190,Adonis 755,Adolfo 566,Aden 306,Addisyn 612,Adam 72
Aileen 851,Aimee 314,Ahmed 642,Ahmad 520,Adrienne 440,Adrian 78,Adonis 867,Aditya 749,Addyson 370,Adan 299
Aimee 272,Aisha 571,Aidan 440,Ahmed 572,Agustin 634,Adriana 127,Adrian 73,Adolfo 543,Adelaide 921,Addison 12
Aisha 568,Aja 958,Aileen 810,Aidan 258,Ahmad 401,Adrianna 215,Adriana 142,Adonis 781,Adeline 467,Addisyn 556
Aja 940,Akeem 562,Aimee 295,Aiden 824,Ahmed 594,Adrien 937,Adrianna 222,Adrian 72,Aden 244,Addyson 240
Akeem 405,Alaina 436,Aisha 625,Aileen 704,Aidan 196,Adrienne 530,Adriel 916,Adriana 119,Adison 767,Adelaide 551
Alaina 441,Alan 129,Aja 885,Aimee 390,Aiden 545,Agustin 578,Adrien 828,Adrianna 212,Aditya 810,Adeline 361
Alan 125,Alana 386,Akeem 696,Aisha 564,Aileen 485,Ahmad 454,Adrienne 573,Adriel 801,Adolfo 581,Adelyn 577
Alana 368,Alanna 502,Alaina 382,Aja 822,Aimee 475,Ahmed 491,Agustin 598,Adrien 769,Adonis 822,Aden 254
Alanna 474,Alayna 852,Alan 144,Akeem 902,Aisha 604,Aidan 114,Ahmad 404,Adrienne 724,Adrian 63,Adison 900
Alannah 936,Albert 205,Alana 334,Alaina 384,Alaina 399,Aiden 324,Ahmed 508,Agustin 651,Adriana 106,Aditya 702
Albert 167,Alberto 225,Alanna 504,Alan 144,Alan 161,Aileen 526,Aidan 60,Ahmad 486,Adrianna 179,Adolfo 731
Alberto 225,Aldo 836,Alayna 653,Alana 242,Alana 254,Aimee 556,Aiden 135,Ahmed 525,Adriel 707,Adonis 854
Alden 949,Alec 172,Albert 209,Alanna 462,Alanna 507,Aisha 691,Aileen 540,Aidan 40,Adrien 754,Adrian 56
Aldo 792,Alecia 751,Alberto 221,Alayna 631,Alayna 568,Aiyana 800,Aimee 566,Aiden 60,Adrienne 736,Adriana 124
Alec 271,Alejandra 149,Aldo 904,Albert 231,Albert 259,Aja 940,Ainsley 453,Aileen 511,Adyson 877,Adrianna 173
Alecia 678,Alejandro 113,Aleah 943,Alberto 236,Alberto 247,Alaina 315,Aisha 629,Aimee 658,Aedan 760,Adriel 584
Alejandra 211,Alesha 782,Alec 109,Alden 914,Alden 783,Alan 161,Aiyana 785,Ainsley 398,Agustin 657,Adrien 727
Alejandro 126,Alessandra 807,Alecia 875,Aldo 713,Aldo 653,Alana 254,Aja 971,Aisha 655,Ahmad 524,Adrienne 786
Alesha 695,Alex 54,Alejandra 147,Aleah 708,Aleah 677,Alanna 496,Akira 920,Aiyana 688,Ahmed 559,Adyson 648
Alessandra 829,Alexa 140,Alejandro 106,Alec 117,Alec 112,Alayna 426,Alaina 309,Alaina 267,Aidan 44,Aedan 821
Alex 59,Alexander 23,Alek 937,Alecia 866,Alejandra 157,Albert 284,Alan 150,Alan 131,Aiden 30,Agustin 740
Alexa 146,Alexandra 29,Alena 919,Alejandra 160,Alejandro 95,Alberto 270,Alana 225,Alana 178,Aidyn 910,Ahmad 559
Alexander 28,Alexandre 987,Alesha 790,Alejandro 107,Alena 768,Alden 854,Alanna 492,Alanna 471,Aileen 537,Ahmed 576
Alexandra 37,Alexandrea 508,Alessandra 852,Alek 953,Alessandra 753,Aldo 663,Alayna 380,Alayna 302,Aimee 763,Aidan 59
Alexandre 950,Alexandria 73,Alex 50,Alena 799,Alessandro 871,Aleah 603,Albert 298,Albert 338,Ainsley 456,Aiden 16
Alexandrea 653,Alexandro 882,Alexa 95,Alesha 961,Alex 56,Alec 156,Alberto 262,Alberto 283,Aisha 683,Aidyn 699
Alexandria 95,Alexia 522,Alexander 22,Alessandra 786,Alexa 92,Alejandra 174,Alden 902,Alden 733,Aiyana 739,Aileen 483
Alexandro 837,Alexis 40,Alexandra 28,Alex 54,Alexander 22,Alejandro 89,Aldo 408,Aldo 608,Akeelah 711,Aimee 779
Alexia 557,Alexus 616,Alexandre 896,Alexa 100,Alexandra 27,Alek 970,Aleah 729,Aleah 696,Akira 965,Ainsley 441
Alexis 66,Alfonso 420,Alexandrea 526,Alexander 22,Alexandre 921,Alena 722,Alec 206,Alec 246,Alaina 248,Aisha 764
Alfonso 423,Alfred 403,Alexandria 72,Alexandra 26,Alexandrea 668,Alessandra 672,Alejandra 191,Aleena 889,Alan 122,Aiyana 595
Alfred 364,Alfredo 274,Alexandro 790,Alexandre 967,Alexandria 81,Alessandro 936,Alejandro 92,Alejandra 205,Alana 166,Akira 705
Alfredo 272,Ali 477,Alexia 308,Alexandrea 545,Alexandro 855,Alex 62,Alena 730,Alejandro 99,Alani 933,Alaina 223
Ali 474,Alice 372,Alexis 18,Alexandria 76,Alexia 229,Alexa 87,Alessandra 638,Alena 679,Alanna 473,Alan 135
Alice 347,Alicia 71,Alexus 250,Alexandro 826,Alexis 6,Alexander 20,Alessandro 711,Alessandra 504,Alayna 268,Alana 166
Alicia 53,Alina 639,Alfonso 432,Alexia 266,Alexus 184,Alexandra 36,Alex 62,Alessandro 675,Albert 354,Alani 913
Alina 664,Alisa 513,Alfred 476,Alexis 8,Alexys 991,Alexandrea 733,Alexa 69,Alex 63,Alberto 315,Alanna 461
Alisa 460,Alisha 162,Alfredo 274,Alexus 178,Alfonso 465,Alexandria 91,Alexander 15,Alexa 72,Alden 811,Alannah 938
Alisha 135,Alison 147,Ali 461,Alfonso 442,Alfred 538,Alexandro 801,Alexandra 38,Alexander 15,Aldo 587,Alayna 285
Alison 133,Alissa 272,Alice 422,Alfred 496,Alfredo 296,Alexia 165,Alexandrea 879,Alexandra 37,Aleah 667,Albert 372
Alissa 276,Allan 385,Alicia 83,Alfredo 273,Ali 393,Alexis 6,Alexandria 105,Alexandrea 1000,Alec 328,Alberto 338
Allan 382,Allen 166,Alina 561,Ali 424,Alia 931,Alexus 251,Alexandro 715,Alexandria 125,Aleena 830,Alden 916
Allen 141,Allie 561,Alisa 542,Alia 934,Alice 439,Alexys 842,Alexia 128,Alexandro 729,Alejandra 232,Aldo 569
Allie 579,Allison 48,Alisha 200,Alice 430,Alicia 98,Alexzander 966,Alexis 5,Alexia 132,Alejandro 96,Aleah 627
Allison 48,Allyson 229,Alison 153,Alicia 91,Alina 494,Alfonso 489,Alexus 316,Alexis 11,Alena 665,Alec 390
Allyson 236,Allyssa 763,Alissa 260,Alina 559,Alisa 579,Alfred 577,Alexys 909,Alexus 427,Alessandra 361,Aleena 664
Allyssa 709,Alma 368,Aliyah 359,Alisa 561,Alisha 341,Alfredo 301,Alexzander 758,Alexzander 642,Alessandro 608,Alejandra 255
Alma 386,Alonso 829,Allan 428,Alisha 240,Alison 188,Ali 380,Alfonso 494,Alfonso 522,Alex 67,Alejandro 105
Alonso 805,Alonzo 506,Allen 179,Alison 166,Alissa 250,Alia 731,Alfred 656,Alfred 716,Alexa 39,Alena 686
Alonzo 476,Alphonso 983,Allie 450,Alissa 267,Alivia 659,Alice 421,Alfredo 303,Alfredo 327,Alexander 12,Alessandra 407
Alphonso 806,Alton 769,Allison 34,Alivia 995,Aliyah 335,Alicia 121,Ali 320,Ali 379,Alexandra 40,Alessandro 624
Alton 704,Alvaro 576,Allyson 210,Aliyah 391,Alize 713,Alina 465,Alia 853,Alia 830,Alexandria 147,Alex 85
Alvaro 576,Alvin 369,Allyssa 770,Alize 748,Allan 452,Alisa 609,Alice 444,Alice 404,Alexandro 861,Alexa 50
Alvin 331,Alycia 686,Alma 433,Allan 481,Allen 239,Alisha 401,Alicia 121,Alicia 130,Alexia 164,Alexander 6
Alycia 524,Alysa 864,Alonso 862,Allen 212,Allie 312,Alison 231,Alijah 684,Alijah 632,Alexis 14,Alexandra 61
Alysa 900,Alysha 482,Alonzo 465,Allie 438,Allison 38,Alissa 279,Alina 433,Alina 392,Alexus 545,Alexandria 189
Alyse 816,Alysia 664,Alton 841,Allison 38,Ally 416,Alivia 562,Alisa 631,Alisa 704,Alexzander 615,Alexia 213
Alysha 410,Alyson 399,Alvaro 561,Allyson 232,Allyson 186,Aliya 718,Alisha 408,Alisha 448,Alfonso 552,Alexis 15
Alysia 643,Alyssa 30,Alvin 419,Allyssa 731,Allyssa 662,Aliyah 287,Alison 230,Alison 229,Alfred 755,Alexus 721
Alyson 358,Amanda 3,Alycia 835,Alma 448,Alma 486,Aliza 944,Alissa 301,Alissa 336,Alfredo 334,Alexzander 674
Alyssa 27,Amber 19,Alysa 862,Alondra 157,Alondra 203,Alize 796,Alivia 430,Alivia 331,Ali 360,Alfonso 585
Amanda 4,Amelia 214,Alysha 564,Alonso 765,Alonso 736,Allan 484,Aliya 741,Aliya 766,Alia 928,Alfred 787
Amber 15,Amie 860,Alysia 823,Alonzo 509,Alonzo 525,Allen 251,Aliyah 203,Aliyah 221,Alice 383,Alfredo 388
