1990,1992,1994,1996,1998,2000,2002,2004,2006,2008
Amelia 194,Amir 651,Alyson 372,Alton 948,Alton 887,Allie 392,Aliza 817,Aliza 777,Alicia 167,Ali 398
Amie 698,Amos 791,Alyssa 26,Alvaro 576,Alvaro 568,Allison 44,Alize 745,Alize 920,Alijah 584,Alia 929
Amir 608,Amy 51,Amanda 8,Alvin 451,Alvin 445,Ally 604,Allan 478,Allan 444,Alina 355,Aliana 907
Amos 739,Ana 137,Amber 21,Alycia 755,Alycia 921,Allyson 243,Allen 246,Allen 256,Alisa 890,Alice 326
Amy 38,Anais 850,Amelia 226,Alysa 839,Alysa 774,Allyssa 803,Allie 371,Allie 294,Alisha 584,Alicia 178
Ana 124,Anastasia 352,Amie 944,Alysha 627,Alysha 791,Alma 491,Allison 44,Allison 40,Alison 271,Alijah 469
Anabel 746,Anderson 852,Amir 566,Alysia 746,Alysia 884,Alondra 182,Ally 581,Ally 592,Alissa 377,Alina 245
Anastasia 382,Andre 140,Amos 849,Alyson 396,Alyson 409,Alonso 638,Allyson 234,Allyson 238,Alivia 254,Alisa 867
Anderson 881,Andrea 39,Amy 77,Alyssa 23,Alyssa 11,Alonzo 517,Allyssa 962,Alma 608,Aliya 699,Alisha 642
Andre 137,Andreas 916,Ana 143,Alyssia 950,Alyssia 952,Alvaro 511,Alma 544,Alondra 150,Aliyah 236,Alison 273
Andrea 40,Andres 186,Anastasia 324,Amanda 13,Amanda 19,Alvin 469,Alondra 162,Alonso 676,Aliza 856,Alissa 438
Andreas 897,Andrew 5,Anderson 814,Amani 828,Amani 733,Alycia 926,Alonso 621,Alonzo 548,Alize 959,Alisson 783
Andres 203,Andria 978,Andre 148,Amari 888,Amari 513,Alysa 766,Alonzo 523,Alvaro 590,Allan 507,Alivia 181
Andrew 7,Andy 252,Andrea 49,Amber 27,Amber 37,Alysha 911,Alton 994,Alvin 514,Allen 283,Aliya 668
Andria 870,Angel 114,Andreas 905,Amelia 222,Amelia 217,Alyson 461,Alvaro 578,Alysa 822,Allie 229,Aliyah 192
Andy 275,Angela 69,Andres 163,Amir 536,America 912,Alyssa 12,Alvin 463,Alyson 456,Allison 46,Aliza 861
Angel 133,Angelica 100,Andrew 10,Amos 982,Amir 442,Amanda 32,Alycia 972,Alyssa 14,Ally 630,Allan 552
Angela 52,Angelina 284,Andria 971,Amy 88,Amira 915,Amani 746,Alysa 808,Amanda 67,Allyson 259,Allen 294
Angelia 501,Angelique 313,Andy 258,Ana 141,Amos 987,Amara 801,Alysha 963,Amani 600,Alma 616,Allie 230
Angelica 119,Angelo 334,Angel 104,Anastasia 327,Amy 96,Amari 511,Alyson 445,Amara 606,Alondra 170,Allison 32
Angelina 261,Angie 652,Angela 81,Anderson 808,Ana 141,Amaya 196,Alyssa 12,Amari 408,Alonso 643,Allisson 418
Angelique 631,Anika 962,Angelica 108,Andre 172,Anahi 515,Amber 46,Amanda 46,Amarion 490,Alonzo 558,Ally 766
Angelo 335,Anissa 854,Angelina 302,Andrea 61,Anastasia 265,Amelia 207,Amani 674,Amaris 823,Alvaro 570,Allyson 266
Angie 586,Anita 454,Angelique 460,Andreas 908,Anderson 872,America 712,Amara 791,Amaya 207,Alvin 513,Alma 792
Anita 405,Anjelica 734,Angelo 347,Andres 161,Andre 193,Amina 983,Amari 432,Amber 88,Alyson 471,Alondra 201
Anjelica 923,Ann 295,Angie 644,Andrew 10,Andrea 61,Amir 414,Amarion 718,Amelia 96,Alyssa 19,Alonso 660
Ann 251,Anna 49,Anissa 452,Andy 235,Andreas 898,Amira 833,Amaya 282,Amelie 838,Amanda 102,Alonzo 542
Anna 45,Anne 182,Anita 550,Anfernee 597,Andres 157,Amiya 936,Amber 65,America 480,Amani 687,Alvaro 639
Anne 155,Annette 548,Anjelica 889,Angel 102,Andrew 9,Amy 107,Amelia 139,Amina 898,Amara 573,Alvin 437
Annemarie 996,Annie 353,Ann 341,Angela 90,Andy 223,Amya 568,America 410,Amir 340,Amare 778,Alyson 480
Annette 513,Annmarie 945,Anna 41,Angelica 97,Angel 81,Ana 136,Amina 946,Amira 652,Amari 421,Alyssa 16
Annie 334,Anthony 19,Annamarie 985,Angelina 310,Angela 100,Anahi 365,Amir 360,Amiya 733,Amaris 909,Alyvia 970
Annmarie 973,Antoine 446,Anne 204,Angelique 455,Angelica 109,Anastasia 309,Amira 761,Amiyah 814,Amaya 215,Amanda 138
Anthony 15,Antoinette 476,Annette 643,Angelo 333,Angelina 268,Anaya 900,Amiya 997,Amy 106,Amber 136,Amani 583
Antione 937,Anton 695,Annie 338,Angie 643,Angelique 469,Anderson 779,Amy 109,Amya 423,Amelia 82,Amara 578
Antoine 361,Antonia 653,Anthony 18,Anika 811,Angelo 302,Andre 197,Amya 632,Ana 139,Amelie 784,Amare 677
Antoinette 354,Antonio 85,Antoine 550,Anissa 711,Angie 597,Andrea 55,Ana 134,Anabel 965,America 458,Amari 344
Anton 603,Antony 844,Antoinette 569,Anita 582,Anika 731,Andreas 954,Anahi 359,Anahi 380,Amina 978,Amaris 987
Antonia 661,Antwan 610,Anton 579,Anjelica 951,Anissa 669,Andres 165,Anastasia 265,Anastasia 288,Amir 324,Amaya 198
Antonio 77,Antwon 727,Antonia 671,Ann 397,Anita 657,Andrew 7,Anaya 666,Anaya 512,Amira 571,Amber 165
Antony 832,April 103,Antonio 88,Anna 33,Ann 467,Andy 211,Anderson 663,Anderson 594,Amirah 971,Amelia 68
Antwan 534,Araceli 523,Antony 874,Annabelle 924,Anna 31,Angel 67,Andre 209,Andon 863,Amiya 742,Amelie 781
Antwon 668,Ari 845,Antwan 692,Annamarie 889,Annabelle 641,Angela 79,Andrea 56,Andre 200,Amiyah 635,America 503
April 73,Ariana 207,April 127,Anne 219,Anne 274,Angelica 138,Andres 158,Andrea 57,Amy 128,Amiah 963
Araceli 556,Arianna 396,Araceli 547,Annette 717,Annette 769,Angelina 157,Andrew 6,Andreas 966,Amya 476,Amina 763
Ari 862,Aric 720,Ari 807,Annie 292,Annie 324,Angelique 466,Andy 208,Andres 169,Ana 143,Amir 297
Ariana 227,Ariel 87,Ariana 166,Annika 667,Annika 472,Angelo 303,Angel 49,Andrew 6,Anabelle 757,Amira 436
Arianna 411,Arielle 283,Arianna 282,Ansley 957,Ansley 750,Angie 499,Angela 83,Andy 205,Anahi 287,Amirah 765
Aric 693,Arlene 619,Aric 791,Anthony 19,Anthony 19,Anika 625,Angelica 146,Angel 44,Anais 869,Amiya 660
Ariel 94,Armand 988,Ariel 144,Antoine 558,Antoine 553,Anissa 753,Angelina 75,Angela 105,Anastasia 288,Amiyah 479
Arielle 186,Armando 233,Arielle 417,Antoinette 644,Antoinette 757,Anita 736,Angelique 497,Angeles 972,Anaya 486,Amy 132
Arlene 682,Arnold 577,Arlene 705,Anton 720,Anton 672,Aniya 578,Angelo 278,Angelica 176,Anders 987,Amya 493
Armando 229,Arnulfo 996,Armando 226,Antonia 395,Antonia 539,Aniyah 724,Angie 384,Angelina 60,Anderson 399,Ana 169
Arnold 559,Aron 555,Armani 980,Antonio 80,Antonio 79,Anjali 932,Anika 509,Angelique 604,Andre 207,Anabel 955
Aron 600,Arron 667,Arnold 638,Antony 775,Antony 832,Ann 493,Anissa 778,Angelo 269,Andrea 59,Anabella 919
Arron 673,Arthur 218,Aron 622,Antwan 730,Antwan 720,Anna 22,Anita 863,Angie 379,Andreas 880,Anabelle 710
Arsenio 742,Arturo 268,Arron 708,April 177,Anya 845,Annabel 942,Aniya 385,Anika 477,Andres 161,Anahi 437
Arthur 196,Asa 846,Arthur 248,Araceli 595,April 182,Annabelle 463,Aniyah 412,Anissa 903,Andrew 8,Anastasia 360
Arturo 259,Asha 842,Arturo 273,Ari 791,Araceli 595,Annalise 823,Anjali 938,Anita 906,Andy 204,Anaya 439
Asa 799,Ashely 774,Asa 798,Ariana 156,Ari 873,Annamarie 974,Ann 521,Aniya 262,Angel 31,Anderson 326
Asha 997,Asher 966,Asha 863,Arianna 214,Ariana 137,Anne 298,Anna 20,Aniyah 296,Angela 114,Andre 220
Ashely 632,Ashlee 154,Ashanti 869,Aric 821,Arianna 167,Annette 744,Annabel 814,Ann 686,Angelica 208,Andrea 71
Ashlee 154,Ashleigh 197,Ashely 886,Ariel 163,Aric 837,Annie 306,Annabella 712,Anna 20,Angelina 48,Andreas 969
Ashleigh 178,Ashley 1,Asher 883,Arielle 419,Ariel 147,Annika 446,Annabelle 330,Annabel 849,Angeline 863,Andres 158
Ashley 2,Ashli 865,Ashlee 180,Arlene 706,Arielle 434,Ansley 761,Annalise 731,Annabella 726,Angelique 693,Andrew 12
Ashli 722,Ashlie 505,Ashleigh 206,Armand 949,Arlene 725,Anthony 17,Anne 326,Annabelle 300,Angelo 262,Andy 211
Ashlie 476,Ashly 590,Ashley 2,Armando 222,Armando 224,Antoine 591,Annette 598,Annalise 746,Angie 389,Angel 36
Ashly 535,Ashlyn 371,Ashlie 579,Armani 738,Armani 658,Antoinette 970,Annie 315,Anne 399,Anika 485,Angela 133
Ashlyn 559,Ashlynn 817,Ashly 730,Arnold 681,Arnold 713,Anton 699,Annika 346,Annette 695,Aniya 262,Angelica 257
Ashton 331,Ashton 354,Ashlyn 256,Aron 575,Aron 602,Antonia 613,Ansley 677,Annie 385,Aniyah 220,Angelina 69
Asia 299,Asia 251,Ashlynn 590,Arron 772,Arron 863,Antonio 82,Anthony 12,Annika 326,Ann 731,Angeline 784
Athena 731,Athena 803,Ashton 285,Arthur 276,Arthur 290,Antony 784,Antoine 626,Ansley 661,Anna 23,Angelique 687
Aubrey 298,Aubree 857,Asia 234,Arturo 265,Arturo 291,Antwan 708,Anton 650,Anthony 11,Annabel 848,Angelo 284
Audra 673,Aubrey 252,Aspen 708,Asa 846,Asa 793,Anya 586,Antonia 637,Antoine 630,Annabella 556,Angie 340
Audrey 161,Audra 712,Athena 812,Asha 890,Asha 853,April 214,Antonio 85,Anton 751,Annabelle 206,Anika 573
August 846,Audrey 175,Aubree 924,Ashanti 691,Ashanti 831,Araceli 598,Antony 780,Antonia 782,Annalise 589,Aniya 272
Aurora 716,August 814,Aubrey 253,Asher 776,Asher 686,Aracely 914,Antwan 935,Antonio 93,Anne 460,Aniyah 187
Austen 705,Augustus 891,Audra 749,Ashlee 202,Ashlee 267,Arely 906,Anya 485,Antony 762,Annette 881,Ann 830
Austin 55,Aurora 680,Audrey 162,Ashleigh 238,Ashleigh 288,Ari 788,April 254,Antwan 919,Annie 398,Anna 26
Autumn 177,Austen 639,August 750,Ashley 3,Ashley 4,Aria 957,Araceli 487,Anya 468,Annika 335,Annabel 801
Ava 953,Austin 38,Augustus 866,Ashli 768,Ashlie 894,Ariana 109,Aracely 655,April 279,Ansley 704,Annabella 589
Avery 492,Autumn 170,Aurora 669,Ashlie 678,Ashly 866,Arianna 128,Arely 698,Araceli 547,Anthony 9,Annabelle 188
Axel 898,Ava 833,Austen 505,Ashly 756,Ashlyn 202,Aric 978,Ari 712,Aracely 716,Antoine 631,Annalise 702
Ayla 818,Avery 461,Austin 17,Ashlyn 227,Ashlynn 448,Ariel 184,Aria 735,Areli 856,Anton 725,Anne 499
Baby 610,Axel 908,Auston 891,Ashlynn 513,Ashton 278,Arielle 544,Ariana 93,Arely 582,Antonio 93,Annie 392
Bailey 226,Ayana 922,Austyn 820,Ashton 315,Asia 206,Arlene 797,Arianna 114,Ari 678,Antony 815,Annika 402
Barbara 210,Ayanna 930,Autumn 117,Asia 200,Aspen 590,Armando 237,Ariel 215,Aria 683,Antwan 828,Ansley 719
Barrett 696,Ayla 783,Ava 750,Aspen 629,Athena 549,Armani 650,Arielle 578,Ariana 79,Anya 405,Anthony 7
Barry 348,Baby 559,Avery 260,Astrid 974,Aubree 854,Arnold 763,Arjun 960,Arianna 86,April 319,Antoine 693
Beatrice 720,Bailey 178,Axel 953,Athena 688,Aubrey 243,Aron 597,Arlene 762,Ariel 220,Arabella 653,Anton 832
Beatriz 472,Barbara 249,Ayana 751,Aubree 918,Audra 974,Arthur 316,Armando 243,Arielle 641,Araceli 570,Antonio 102
Beau 337,Barrett 885,Ayanna 678,Aubrey 258,Audrey 145,Arturo 291,Armani 773,Arjun 741,Aracely 722,Antony 895
Becky 862,Barry 459,Ayla 813,Audra 894,August 598,Aryanna 898,Arnold 896,Arlene 985,Areli 979,Antwan 879
Belinda 624,Beatrice 742,Baby 525,Audrey 164,Augustus 924,Asa 657,Aron 643,Armando 241,Arely 576,Anya 375
Ben 514,Beatriz 489,Bailee 887,August 709,Aurora 504,Asha 884,Arthur 327,Armani 728,Ari 634,April 333
Benito 795,Beau 392,Bailey 137,Augustus 942,Austen 532,Asher 579,Arturo 288,Arnav 889,Aria 661,Arabella 657
Benjamin 33,Becky 993,Barbara 318,Aurora 632,Austin 10,Ashlee 314,Aryan 871,Arnold 900,Ariana 78,Araceli 767
Bennett 674,Belinda 735,Barrett 884,Austen 423,Auston 879,Ashleigh 337,Aryanna 815,Aron 640,Arianna 77,Aracely 868
Bennie 872,Ben 536,Barry 497,Austin 9,Austyn 656,Ashley 4,Asa 670,Arthur 357,Ariel 202,Areli 848
Benny 714,Benito 739,Beatrice 872,Auston 894,Autumn 77,Ashly 945,Ashanti 115,Arturo 308,Arielle 587,Arely 610
Bernadette 735,Benjamin 33,Beatriz 554,Austyn 629,Ava 350,Ashlyn 178,Asher 485,Aryan 644,Arjun 720,Ari 532
Bernard 430,Bennett 671,Beau 395,Autumn 104,Avery 246,Ashlynn 387,Ashlee 353,Aryana 882,Armando 264,Aria 575
Bernardo 764,Benny 722,Belinda 814,Ava 739,Axel 794,Ashton 254,Ashleigh 274,Aryanna 778,Armani 698,Ariana 81
Beth 392,Berenice 823,Ben 615,Avery 251,Ayana 724,Ashtyn 964,Ashley 6,Asa 672,Arnav 932,Arianna 66
Bethany 107,Bernadette 840,Benito 757,Axel 859,Ayanna 447,Asia 220,Ashly 818,Ashanti 533,Aron 640,Ariel 217
Betsy 739,Bernard 418,Benjamin 31,Ayana 819,Ayla 909,Aspen 570,Ashlyn 158,Asher 334,Arthur 377,Ariella 923
Betty 577,Bernardo 824,Bennett 662,Ayanna 659,Aylin 737,Athena 528,Ashlynn 348,Ashlee 282,Arturo 323,Arielle 619
Beverly 521,Beth 515,Benny 867,Ayla 847,Baby 731,Aubree 755,Ashton 200,Ashleigh 417,Aryan 684,Arjun 755
Bianca 84,Bethany 114,Berenice 771,Baby 637,Babyboy 977,Aubrey 223,Ashtyn 889,Ashley 8,Aryana 823,Armando 293
Bill 992,Betsy 837,Bernard 495,Bailee 479,Bailee 414,Audrey 115,Asia 266,Ashly 839,Aryanna 652,Armani 583
Billie 830,Betty 721,Bernardo 671,Bailey 85,Bailey 60,August 613,Aspen 556,Ashlyn 131,Asa 623,Arnav 974
Billy 214,Beverly 531,Beth 675,Barbara 402,Barbara 463,Augustus 955,Athena 503,Ashlynn 286,Ashanti 882,Aron 600
Blaine 400,Bianca 97,Bethany 116,Barrett 909,Barrett 993,Aurora 488,Aubree 707,Ashton 76,Asher 252,Arthur 363
Blair 487,Bill 898,Betsy 990,Barry 552,Barry 610,Austen 704,Aubrey 195,Ashtyn 954,Ashlee 338,Arturo 352
Blake 91,Billie 890,Betty 757,Baylee 331,Baylee 316,Austin 23,Aubrie 981,Asia 247,Ashleigh 688,Aryan 669
Blanca 397,Billy 230,Beverly 608,Beatrice 913,Beatrice 935,Austyn 789,Audrey 100,Aspen 548,Ashley 12,Aryana 753
Bo 602,Blaine 438,Bianca 110,Beatriz 597,Beatriz 643,Autumn 77,August 664,Astrid 939,Ashly 780,Aryanna 613
Bobbi 766,Blair 524,Billie 838,Beau 425,Beau 450,Ava 180,Augustus 840,Athena 486,Ashlyn 140,Asa 633
Bobbie 638,Blake 84,Billy 255,Belinda 971,Ben 562,Avery 176,Aurora 435,Atticus 933,Ashlynn 293,Ashanti 930
