Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Continent,Automatic / Manual,A / M digital
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12.0,AS8,Z,20.7,12.7,17.1,17.0,400.0,Europe,A,1
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12.0,AS8,Z,20.7,12.7,17.1,17.0,400.0,Europe,A,1
ROLLS-ROYCE,DAWN,COMPACT,6.6,12.0,AS8,Z,20.4,13.1,17.1,17.0,400.0,Europe,A,1
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12.0,AS8,Z,20.4,13.1,17.1,17.0,400.0,Europe,A,1
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12.0,AS8,Z,20.4,13.1,17.1,17.0,400.0,Europe,A,1
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8.0,A5,X,19.7,14.3,17.3,16.0,398.0,Asia,A,1
ROLLS-ROYCE,DAWN,COMPACT,6.6,12.0,AS8,Z,20.3,13.0,17.0,17.0,397.0,Europe,A,1
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12.0,AS8,Z,20.3,13.0,17.0,17.0,397.0,Europe,A,1
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12.0,AS8,Z,20.3,13.0,17.0,17.0,397.0,Europe,A,1
FORD,E150 VAN FFV,VAN - CARGO,5.4,8.0,A4,X,19.3,14.7,17.2,16.0,396.0,America,A,1
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8.0,A5,X,19.7,14.3,17.2,16.0,396.0,Asia,A,1
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12.0,AS8,Z,20.9,12.7,17.2,16.0,396.0,Europe,A,1
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12.0,AS8,Z,20.7,12.9,17.2,16.0,396.0,Europe,A,1
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12.0,AS8,Z,20.9,12.7,17.2,16.0,396.0,Europe,A,1
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12.0,AS8,Z,20.7,12.9,17.2,16.0,396.0,Europe,A,1
MERCEDES-BENZ,AMG G 63,SUV - STANDARD,4.0,8.0,A9,Z,18.1,15.6,17.0,17.0,396.0,Europe,A,1
LEXUS,LX 570,SUV - STANDARD,5.7,8.0,AS8,Z,19.2,14.3,16.9,17.0,395.0,Asia,A,1
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12.0,A8,Z,20.7,12.8,17.1,17.0,393.0,Europe,A,1
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12.0,A8,Z,20.7,12.8,17.1,17.0,393.0,Europe,A,1
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12.0,A8,Z,20.7,12.7,17.1,17.0,393.0,Europe,A,1
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12.0,A8,Z,20.7,12.7,17.1,17.0,393.0,Europe,A,1
FORD,GT,TWO-SEATER,3.5,6.0,AM7,Z,19.8,12.8,16.6,17.0,393.0,America,A,1
FORD,SHELBY GT500 MUSTANG,SUBCOMPACT,5.2,8.0,AM7,Z,19.9,12.7,16.7,17.0,392.0,America,A,1
ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12.0,AM7,Z,19.5,12.8,16.5,17.0,390.0,Europe,A,1
ROLLS-ROYCE,DAWN,COMPACT,6.6,12.0,AS8,Z,20.0,12.6,16.7,17.0,390.0,Europe,A,1
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12.0,AS8,Z,20.0,12.6,16.7,17.0,390.0,Europe,A,1
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12.0,AS8,Z,20.0,12.6,16.7,17.0,390.0,Europe,A,1
SRT,VIPER COUPE,TWO-SEATER,8.4,10.0,M6,Z,20.0,13.0,16.9,17.0,389.0,America,M,0
SRT,VIPER GTS COUPE,TWO-SEATER,8.4,10.0,M6,Z,20.0,13.0,16.9,17.0,389.0,America,M,0
BENTLEY,CONTINENTAL GT CONVERTIBLE,COMPACT,6.0,12.0,AS8,Z,20.4,12.0,16.6,17.0,389.0,Europe,A,1
BENTLEY,CONTINENTAL SUPERSPORTS,COMPACT,6.0,12.0,AS8,Z,20.4,12.0,16.6,17.0,389.0,Europe,A,1
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12.0,AS8,Z,20.4,12.0,16.6,17.0,389.0,Europe,A,1
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12.0,AS8,Z,20.3,11.9,16.5,17.0,388.0,Europe,A,1
ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12.0,AM7,Z,19.4,12.8,16.4,17.0,388.0,Europe,A,1
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12.0,AS8,Z,19.6,12.9,16.6,17.0,388.0,Europe,A,1
DODGE,VIPER,TWO-SEATER,8.4,10.0,M6,Z,19.9,12.6,16.6,17.0,387.0,America,M,0
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12.0,AS8,Z,20.0,12.4,16.6,17.0,387.0,Europe,A,1
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12.0,AS8,Z,20.0,12.4,16.6,17.0,387.0,Europe,A,1
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12.0,AS8,Z,19.6,12.8,16.5,17.0,387.0,Europe,A,1
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8.0,A4,X,18.6,14.6,16.8,17.0,386.0,America,A,1
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8.0,AS6,Z,19.9,13.0,16.8,17.0,386.0,America,A,1
ROLLS-ROYCE,CULLINAN,STATION WAGON - MID-SIZE,6.7,12.0,AS8,Z,20.1,12.1,16.5,17.0,386.0,Europe,A,1
ROLLS-ROYCE,CULLINAN BLACK BADGE,STATION WAGON - MID-SIZE,6.7,12.0,AS8,Z,20.1,12.1,16.5,17.0,386.0,Europe,A,1
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8.0,AS6,X,18.5,13.9,16.4,17.0,385.0,Asia,A,1
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8.0,AS6,X,19.0,13.9,16.7,17.0,384.0,Asia,A,1
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8.0,AS6,X,18.4,13.8,16.4,17.0,384.0,Asia,A,1
LAMBORGHINI,URUS,SUV - STANDARD,4.0,8.0,AS8,Z,19.2,14.1,16.9,17.0,384.0,Europe,A,1
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,18.0,14.2,16.3,17.0,383.0,Asia,A,1
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8.0,AS6,Z,19.7,12.9,16.6,17.0,382.0,America,A,1
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8.0,AS6,Z,19.7,12.9,16.6,17.0,382.0,America,A,1
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8.0,AS6,Z,19.7,12.9,16.6,17.0,382.0,America,A,1
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8.0,AS6,Z,19.7,12.9,16.6,17.0,382.0,America,A,1
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8.0,A4,E,26.7,20.5,23.9,12.0,382.0,America,A,1
AUDI,R8,TWO-SEATER,4.2,8.0,M6,Z,20.5,11.7,16.6,17.0,382.0,Europe,M,0
AUDI,R8 SPYDER,TWO-SEATER,4.2,8.0,M6,Z,20.5,11.7,16.6,17.0,382.0,Europe,M,0
LEXUS,LX 570,SUV - STANDARD,5.7,8.0,AS6,Z,19.0,13.6,16.6,17.0,382.0,Asia,A,1
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8.0,A5,X,19.2,13.4,16.6,17.0,382.0,Asia,A,1
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8.0,AS6,X,18.8,14.0,16.6,17.0,382.0,Asia,A,1
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,18.5,14.2,16.6,17.0,382.0,Asia,A,1
RAM,1500 4X4,PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,18.7,13.3,16.3,17.0,382.0,America,A,1
RAM,1500 CLASSIC 4X4,PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,18.7,13.3,16.3,17.0,382.0,America,A,1
ROLLS-ROYCE,CULLINAN,STATION WAGON - MID-SIZE,6.7,12.0,AS8,Z,20.0,11.8,16.3,17.0,382.0,Europe,A,1
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12.0,AS8,Z,20.0,11.8,16.3,17.0,382.0,Europe,A,1
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12.0,AS8,Z,20.0,11.8,16.3,17.0,382.0,Europe,A,1
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,18.0,14.1,16.3,17.0,382.0,Asia,A,1
CHEVROLET,CORVETTE ZR1,TWO-SEATER,6.2,8.0,AS8,Z,19.5,12.0,16.1,18.0,381.0,America,A,1
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,18.0,14.2,16.3,17.0,381.0,Asia,A,1
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12.0,AS8,Z,20.0,12.2,16.5,17.0,380.0,Europe,A,1
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12.0,AS8,Z,20.0,12.2,16.5,17.0,380.0,Europe,A,1
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8.0,A4,X,18.3,14.2,16.5,17.0,380.0,America,A,1
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8.0,A4,X,18.6,13.9,16.5,17.0,380.0,America,A,1
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8.0,A4,X,18.3,14.2,16.5,17.0,380.0,America,A,1
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8.0,A4,X,18.6,13.9,16.5,17.0,380.0,America,A,1
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8.0,A4,X,18.3,14.2,16.5,17.0,380.0,America,A,1
GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8.0,A4,X,18.3,14.2,16.5,17.0,380.0,America,A,1
GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8.0,A4,X,18.6,13.9,16.5,17.0,380.0,America,A,1
GMC,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8.0,A4,X,18.3,14.2,16.5,17.0,380.0,America,A,1
GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8.0,A4,X,18.6,13.9,16.5,17.0,380.0,America,A,1
GMC,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8.0,A4,X,18.3,14.2,16.5,17.0,380.0,America,A,1
LEXUS,LX 570,SUV - STANDARD,5.7,8.0,AS6,Z,18.8,13.6,16.5,17.0,380.0,Asia,A,1
MERCEDES-BENZ,SLS AMG BLACK SERIES COUPE,TWO-SEATER,6.2,8.0,AS7,Z,18.7,13.9,16.5,17.0,380.0,Europe,A,1
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8.0,A5,X,19.1,13.4,16.5,17.0,380.0,Asia,A,1
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,18.2,14.1,16.3,17.0,380.0,Asia,A,1
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8.0,AS6,X,18.7,13.8,16.5,17.0,380.0,Asia,A,1
ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12.0,AM7,Z,19.5,12.8,16.5,17.0,379.0,Europe,A,1
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,18.1,13.9,16.2,17.0,378.0,Asia,A,1
MERCEDES-BENZ,G 550,SUV - STANDARD,4.0,8.0,A9,Z,18.0,14.1,16.3,17.0,378.0,Europe,A,1
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8.0,A6,Z,18.8,13.4,16.4,17.0,377.0,America,A,1
GMC,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8.0,A6,Z,18.8,13.4,16.4,17.0,377.0,America,A,1
AUDI,R8,TWO-SEATER,5.2,10.0,M6,Z,19.9,12.0,16.4,17.0,377.0,Europe,M,0
AUDI,R8 SPYDER,TWO-SEATER,5.2,10.0,M6,Z,19.9,12.0,16.4,17.0,377.0,Europe,M,0
MERCEDES-BENZ,GL 63 AMG,SUV - STANDARD,5.5,8.0,AS7,Z,18.2,14.0,16.3,17.0,375.0,Europe,A,1
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12.0,AS8,Z,19.6,11.7,16.0,18.0,375.0,Europe,A,1
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12.0,AS8,Z,19.6,11.7,16.0,18.0,375.0,Europe,A,1
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12.0,AS8,Z,19.0,12.5,16.1,18.0,375.0,Europe,A,1
FORD,E150 VAN FFV,VAN - CARGO,4.6,8.0,A4,X,17.7,14.4,16.2,17.0,373.0,America,A,1
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,18.1,13.9,16.2,17.0,373.0,Asia,A,1
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12.0,AS8,Z,19.2,12.4,16.1,18.0,373.0,Europe,A,1
