Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Continent,Automatic / Manual,A / M digital
BUGATTI,CHIRON,TWO-SEATER,8.0,16.0,AM7,Z,26.8,16.6,22.2,13.0,522.0,Europe,A,1
LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12.0,AM7,Z,26.6,15.8,21.7,13.0,493.0,Europe,A,1
FORD,E350 WAGON,VAN - PASSENGER,6.8,10.0,A5,X,23.9,17.8,21.2,13.0,488.0,America,A,1
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12.0,AM7,Z,26.3,15.6,21.5,13.0,487.0,Europe,A,1
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12.0,AM7,Z,26.2,15.5,21.4,13.0,485.0,Europe,A,1
MERCEDES-BENZ,AMG G 65,SUV - STANDARD,6.0,12.0,AS7,Z,24.3,17.9,21.4,13.0,476.0,Europe,A,1
MERCEDES-BENZ,AMG G 65,SUV - STANDARD,6.0,12.0,A7,Z,22.2,18.0,20.3,14.0,473.0,Europe,A,1
MERCEDES-BENZ,AMG G 65,SUV - STANDARD,6.0,12.0,AS7,Z,22.2,18.0,20.3,14.0,467.0,Europe,A,1
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,23.0,16.0,19.8,14.0,465.0,America,A,1
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,23.0,16.0,19.8,14.0,465.0,America,A,1
BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,Z,24.5,14.4,20.0,14.0,465.0,Europe,A,1
LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12.0,AM7,Z,24.2,14.5,19.8,14.0,464.0,Europe,A,1
LAMBORGHINI,AVENTADOR S ROADSTER,TWO-SEATER,6.5,12.0,AM7,Z,24.2,14.5,19.8,14.0,464.0,Europe,A,1
LAMBORGHINI,AVENTADOR COUPE LP 740,TWO-SEATER,6.5,12.0,AM7,Z,23.9,14.5,19.7,14.0,461.0,Europe,A,1
LAMBORGHINI,AVENTADOR ROADSTER LP 740,TWO-SEATER,6.5,12.0,AM7,Z,23.9,14.5,19.7,14.0,461.0,Europe,A,1
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12.0,AM7,Z,23.8,14.1,19.4,15.0,454.0,Europe,A,1
LAMBORGHINI,AVENTADOR S COUPE,TWO-SEATER,6.5,12.0,AM7,Z,23.8,14.1,19.4,15.0,454.0,Europe,A,1
LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12.0,AM7,Z,24.0,14.5,19.7,14.0,453.0,Europe,A,1
LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12.0,AM7,Z,23.6,14.1,19.3,15.0,452.0,Europe,A,1
ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12.0,M7,Z,23.2,14.4,19.2,15.0,450.0,Europe,M,0
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,22.3,14.9,19.0,15.0,445.0,America,A,1
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,22.3,14.9,19.0,15.0,445.0,America,A,1
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,22.0,14.9,18.8,15.0,441.0,America,A,1
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,22.0,14.9,18.8,15.0,441.0,America,A,1
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,21.8,14.8,18.6,15.0,438.0,America,A,1
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,21.8,14.8,18.6,15.0,438.0,America,A,1
LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12.0,AM7,Z,23.0,13.5,18.7,15.0,438.0,Europe,A,1
BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,Z,22.3,14.9,19.0,15.0,437.0,Europe,A,1
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,22.2,15.1,19.0,15.0,437.0,America,A,1
CHEVROLET,EXPRESS 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,X,22.2,15.1,19.0,15.0,437.0,America,A,1
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,22.2,15.1,19.0,15.0,437.0,America,A,1
GMC,SAVANA 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,X,22.2,15.1,19.0,15.0,437.0,America,A,1
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,22.1,15.0,18.9,15.0,435.0,America,A,1
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,22.1,15.0,18.9,15.0,435.0,America,A,1
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,21.9,15.0,18.8,15.0,432.0,America,A,1
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,21.9,15.0,18.8,15.0,432.0,America,A,1
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,22.0,14.9,18.8,15.0,432.0,America,A,1
CHEVROLET,EXPRESS 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,X,22.0,14.9,18.8,15.0,432.0,America,A,1
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,22.0,14.9,18.8,15.0,432.0,America,A,1
GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,X,22.0,14.9,18.8,15.0,432.0,America,A,1
BENTLEY,MULSANNE EWB,MID-SIZE,6.8,8.0,AS8,Z,22.2,13.6,18.3,15.0,430.0,Europe,A,1
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12.0,AM7,Z,22.2,12.7,17.9,16.0,428.0,Europe,A,1
MERCEDES-BENZ,G 63 AMG,SUV - STANDARD,5.5,8.0,AS7,Z,20.0,16.6,18.5,15.0,426.0,Europe,A,1
LAMBORGHINI,VENENO ROADSTER,TWO-SEATER,6.5,12.0,AM7,Z,22.1,13.9,18.4,15.0,423.0,Europe,A,1
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8.0,A4,X,20.6,15.5,18.3,15.0,421.0,America,A,1
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12.0,A7,Z,22.8,12.9,18.3,15.0,421.0,Europe,A,1
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12.0,AM7,Z,22.2,12.7,17.9,16.0,420.0,Europe,A,1
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8.0,A6,X,21.3,14.3,18.2,16.0,419.0,America,A,1
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,4.8,8.0,A6,X,21.3,14.3,18.2,16.0,419.0,America,A,1
MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8.0,AS7,Z,20.0,15.9,18.2,16.0,419.0,Europe,A,1
BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,Z,22.3,13.3,18.2,16.0,419.0,Europe,A,1
MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8.0,AS7,Z,19.9,16.1,18.2,16.0,419.0,Europe,A,1
MERCEDES-BENZ,AMG G 63,SUV - STANDARD,5.5,8.0,A7,Z,19.9,15.5,17.9,16.0,419.0,Europe,A,1
CHEVROLET,EXPRESS 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,E,30.6,20.6,26.1,11.0,418.0,America,A,1
GMC,SAVANA 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,E,30.6,20.6,26.1,11.0,418.0,America,A,1
MERCEDES-BENZ,AMG G 63,SUV - STANDARD,5.5,8.0,AS7,Z,20.0,16.6,18.5,15.0,417.0,Europe,A,1
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8.0,A6,X,21.3,14.3,18.1,16.0,416.0,America,A,1
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,4.8,8.0,A6,X,21.3,14.3,18.1,16.0,416.0,America,A,1
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8.0,A6,X,21.1,14.2,18.0,16.0,414.0,America,A,1
FORD,F-150 RAPTOR 4X4,PICKUP TRUCK - STANDARD,6.2,8.0,AS6,X,20.4,15.0,18.0,16.0,414.0,America,A,1
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,4.8,8.0,A6,X,21.1,14.2,18.0,16.0,414.0,America,A,1
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8.0,A6,X,21.0,14.2,18.0,16.0,414.0,America,A,1
CHEVROLET,EXPRESS 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,E,30.3,20.5,25.9,11.0,414.0,America,A,1
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,4.8,8.0,A6,X,21.0,14.2,18.0,16.0,414.0,America,A,1
GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,E,30.3,20.5,25.9,11.0,414.0,America,A,1
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,E,30.2,20.5,25.8,11.0,413.0,America,A,1
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,E,30.2,20.5,25.8,11.0,413.0,America,A,1
MERCEDES-BENZ,AMG G 63,SUV - STANDARD,5.5,8.0,AS7,Z,20.0,16.6,18.5,15.0,413.0,Europe,A,1
JEEP,GRAND CHEROKEE 4X4 TRACKHAWK,SUV - STANDARD,6.2,8.0,A8,Z,20.9,13.8,17.7,16.0,413.0,America,A,1
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12.0,AM7,Z,22.2,12.7,17.9,16.0,412.0,Europe,A,1
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,E,30.0,20.4,25.7,11.0,411.0,America,A,1
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,E,30.0,20.4,25.7,11.0,411.0,America,A,1
MERCEDES-BENZ,G 550,SUV - STANDARD,4.0,8.0,A7,Z,18.2,16.5,17.5,16.0,410.0,Europe,A,1
AUDI,R8,TWO-SEATER,5.2,10.0,M6,Z,21.1,13.8,17.8,16.0,409.0,Europe,M,0
AUDI,R8 SPYDER,TWO-SEATER,5.2,10.0,M6,Z,21.1,13.8,17.8,16.0,409.0,Europe,M,0
BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,Z,21.0,13.1,17.5,16.0,408.0,Europe,A,1
AUDI,R8,TWO-SEATER,4.2,8.0,M6,Z,21.2,13.4,17.7,16.0,407.0,Europe,M,0
AUDI,R8 SPYDER,TWO-SEATER,4.2,8.0,M6,Z,21.2,13.4,17.7,16.0,407.0,Europe,M,0
MERCEDES-BENZ,G 63 AMG,SUV - STANDARD,5.5,8.0,AS7,Z,19.4,15.7,17.7,16.0,407.0,Europe,A,1
BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,Z,21.3,12.8,17.5,16.0,407.0,Europe,A,1
FORD,GT,TWO-SEATER,3.5,6.0,AM7,Z,20.6,13.2,17.3,16.0,406.0,America,A,1
BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,Z,20.9,13.0,17.3,16.0,405.0,Europe,A,1
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12.0,AS8,Z,20.7,12.9,17.2,16.0,404.0,Europe,A,1
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12.0,AS8,Z,20.7,12.9,17.2,16.0,404.0,Europe,A,1
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12.0,AS8,Z,20.9,12.7,17.2,16.0,403.0,Europe,A,1
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12.0,AS8,Z,20.9,12.7,17.2,16.0,403.0,Europe,A,1
FORD,GT,TWO-SEATER,3.5,6.0,AM7,Z,20.4,13.1,17.1,17.0,403.0,America,A,1
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,6.2,8.0,AS6,X,20.1,14.4,17.5,16.0,402.0,America,A,1
FORD,GT,TWO-SEATER,3.5,6.0,AM7,Z,20.4,13.1,17.1,17.0,402.0,America,A,1
MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8.0,AS7,Z,19.0,16.5,17.9,16.0,401.0,Europe,A,1
MERCEDES-BENZ,G 550,SUV - STANDARD,4.0,8.0,AS7,Z,19.0,16.6,17.9,16.0,401.0,Europe,A,1
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12.0,AS8,Z,20.6,12.8,17.1,17.0,401.0,Europe,A,1
BENTLEY,BENTAYGA,SUV - STANDARD,6.0,12.0,AS8,Z,20.0,13.8,17.2,16.0,401.0,Europe,A,1
LAMBORGHINI,GALLARDO COUPE,TWO-SEATER,5.2,10.0,M6,Z,20.6,13.5,17.4,16.0,400.0,Europe,M,0
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12.0,AS8,Z,20.7,12.7,17.1,17.0,400.0,Europe,A,1
