1990,1992,1994,1996,1998
Aaron 34,Aaron 30,Aaliyah 202,Aaliyah 335,Aaliyah 222
Abbey 482,Abbey 545,Aaron 28,Aaron 34,Aaron 37
Abbie 685,Abbie 784,Abbey 419,Abbey 452,Abbey 408
Abby 222,Abby 260,Abbie 627,Abbie 642,Abbie 603
Abdul 934,Abdul 980,Abby 213,Abbigail 760,Abbigail 612
Abel 384,Abel 370,Abdul 994,Abby 208,Abby 194
Abigail 90,Abigail 86,Abel 399,Abdul 947,Abdul 970
Abraham 246,Abraham 254,Abigail 42,Abdullah 974,Abdullah 897
Abram 920,Adam 36,Abraham 242,Abel 387,Abel 378
Adam 32,Adan 498,Abram 848,Abigail 32,Abigail 18
Adan 548,Addison 634,Adam 38,Abraham 227,Abigayle 899
Addison 645,Adolfo 677,Adan 539,Abram 878,Abraham 211
Adolfo 649,Adrian 702,Addison 554,Adam 39,Abram 942
Adrian 603,Adrian 96,Addison 800,Adan 512,Abril 957
Adrian 94,Adriana 141,Adilene 984,Addison 544,Adam 45
Adriana 144,Adrianna 289,Adolfo 586,Addison 547,Adan 533
Adrianna 325,Adrianne 822,Adonis 796,Adolfo 644,Addison 403
Adrianne 783,Adrienne 279,Adrian 834,Adonis 830,Addison 548
Adrienne 233,Agustin 618,Adrian 98,Adrian 912,Adolfo 604
Agustin 627,Ahmad 579,Adriana 151,Adrian 92,Adonis 790
Ahmad 562,Ahmed 724,Adrianna 307,Adriana 153,Adrian 71
Ahmed 721,Aidan 633,Adrienne 357,Adrianna 277,Adrian 862
Aidan 889,Aileen 795,Agustin 602,Adrienne 439,Adriana 133
Aileen 851,Aimee 314,Ahmad 535,Agustin 613,Adrianna 190
Aimee 272,Aisha 571,Ahmed 642,Ahmad 520,Adrienne 440
Aisha 568,Aja 958,Aidan 440,Ahmed 572,Agustin 634
Aja 940,Akeem 562,Aileen 810,Aidan 258,Ahmad 401
Akeem 405,Alaina 436,Aimee 295,Aiden 824,Ahmed 594
Alaina 441,Alan 129,Aisha 625,Aileen 704,Aidan 196
Alan 125,Alana 386,Aja 885,Aimee 390,Aiden 545
Alana 368,Alanna 502,Akeem 696,Aisha 564,Aileen 485
Alanna 474,Alayna 852,Alaina 382,Aja 822,Aimee 475
Alannah 936,Albert 205,Alan 144,Akeem 902,Aisha 604
Albert 167,Alberto 225,Alana 334,Alaina 384,Alaina 399
Alberto 225,Aldo 836,Alanna 504,Alan 144,Alan 161
Alden 949,Alec 172,Alayna 653,Alana 242,Alana 254
Aldo 792,Alecia 751,Albert 209,Alanna 462,Alanna 507
Alec 271,Alejandra 149,Alberto 221,Alayna 631,Alayna 568
Alecia 678,Alejandro 113,Aldo 904,Albert 231,Albert 259
Alejandra 211,Alesha 782,Aleah 943,Alberto 236,Alberto 247
Alejandro 126,Alessandra 807,Alec 109,Alden 914,Alden 783
Alesha 695,Alex 54,Alecia 875,Aldo 713,Aldo 653
Alessandra 829,Alex 617,Alejandra 147,Aleah 708,Aleah 677
Alex 59,Alexa 140,Alejandro 106,Alec 117,Alec 112
