Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
ACURA,ILX,COMPACT,2.0,4.0,AS5,premium gasoline,9.9,6.7,8.5,33.0,196.0
ACURA,ILX,COMPACT,2.4,4.0,M6,premium gasoline,11.2,7.7,9.6,29.0,221.0
ACURA,ILX HYBRID,COMPACT,1.5,4.0,AV7,premium gasoline,6.0,5.8,5.9,48.0,136.0
ACURA,MDX 4WD,SUV - SMALL,3.5,6.0,AS6,premium gasoline,12.7,9.1,11.1,25.0,255.0
ACURA,RDX AWD,SUV - SMALL,3.5,6.0,AS6,premium gasoline,12.1,8.7,10.6,27.0,244.0
ACURA,RLX,MID-SIZE,3.5,6.0,AS6,premium gasoline,11.9,7.7,10.0,28.0,230.0
ACURA,TL,MID-SIZE,3.5,6.0,AS6,premium gasoline,11.8,8.1,10.1,28.0,232.0
ACURA,TL AWD,MID-SIZE,3.7,6.0,AS6,premium gasoline,12.8,9.0,11.1,25.0,255.0
ACURA,TL AWD,MID-SIZE,3.7,6.0,M6,premium gasoline,13.4,9.5,11.6,24.0,267.0
ACURA,TSX,COMPACT,2.4,4.0,AS5,premium gasoline,10.6,7.5,9.2,31.0,212.0
ACURA,TSX,COMPACT,2.4,4.0,M6,premium gasoline,11.2,8.1,9.8,29.0,225.0
ACURA,TSX,COMPACT,3.5,6.0,AS5,premium gasoline,12.1,8.3,10.4,27.0,239.0
ALFA ROMEO,4C,TWO-SEATER,1.8,4.0,AM6,premium gasoline,9.7,6.9,8.4,34.0,193.0
ASTON MARTIN,DB9,MINICOMPACT,5.9,12.0,A6,premium gasoline,18.0,12.6,15.6,18.0,359.0
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12.0,A6,premium gasoline,18.0,12.6,15.6,18.0,359.0
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8.0,AM7,premium gasoline,17.4,11.3,14.7,19.0,338.0
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8.0,M6,premium gasoline,18.1,12.2,15.4,18.0,354.0
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8.0,AM7,premium gasoline,17.4,11.3,14.7,19.0,338.0
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8.0,M6,premium gasoline,18.1,12.2,15.4,18.0,354.0
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12.0,A6,premium gasoline,18.0,12.6,15.6,18.0,359.0
AUDI,A4,COMPACT,2.0,4.0,AV8,premium gasoline,9.9,7.4,8.8,32.0,202.0
AUDI,A4 QUATTRO,COMPACT,2.0,4.0,AS8,premium gasoline,11.5,8.1,10.0,28.0,230.0
AUDI,A4 QUATTRO,COMPACT,2.0,4.0,M6,premium gasoline,10.8,7.5,9.3,30.0,214.0
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4.0,AS8,premium gasoline,11.5,8.1,10.0,28.0,230.0
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,AS8,premium gasoline,11.5,8.1,10.0,28.0,230.0
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,M6,premium gasoline,10.8,7.5,9.3,30.0,214.0
AUDI,A6 QUATTRO,MID-SIZE,2.0,4.0,AS8,premium gasoline,12.0,8.1,10.2,28.0,235.0
AUDI,A6 QUATTRO,MID-SIZE,3.0,6.0,AS8,premium gasoline,12.8,8.6,10.9,26.0,251.0
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,diesel,9.8,6.2,8.1,35.0,217.0
AUDI,A7 QUATTRO,MID-SIZE,3.0,6.0,AS8,premium gasoline,13.3,8.5,11.2,25.0,262.0
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,diesel,9.8,6.2,8.1,35.0,217.0
AUDI,A8,MID-SIZE,3.0,6.0,AS8,premium gasoline,13.1,8.8,11.2,25.0,258.0
AUDI,A8,MID-SIZE,4.0,8.0,AS8,premium gasoline,13.7,8.3,11.3,25.0,265.0
AUDI,A8 TDI (modified),MID-SIZE,3.0,6.0,AS8,diesel,9.8,6.5,8.4,34.0,224.0
AUDI,A8L,FULL-SIZE,3.0,6.0,AS8,premium gasoline,13.1,8.8,11.2,25.0,258.0
AUDI,A8L,FULL-SIZE,4.0,8.0,AS8,premium gasoline,14.7,9.7,12.5,23.0,288.0
AUDI,A8L,FULL-SIZE,6.3,12.0,AS8,premium gasoline,18.7,11.5,15.5,18.0,363.0
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6.0,AS8,diesel,9.8,6.5,8.4,34.0,224.0
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4.0,AS8,premium gasoline,11.8,8.8,10.5,27.0,242.0
AUDI,Q5,SUV - SMALL,2.0,4.0,AS8,premium gasoline,12.0,8.5,10.4,27.0,239.0
AUDI,Q5,SUV - SMALL,3.0,6.0,AS8,premium gasoline,12.9,9.2,11.2,25.0,258.0
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6.0,AS8,diesel,10.2,7.8,9.0,31.0,244.0
